community_resource,complex_id,complex_name,subunits_annotated,n_subunits_annotated,subunits_with_MS_signal,n_subunits_with_MS_signal,subunits_coeluting,n_subunits_coeluting,completeness,left_feature_boundary,right_feature_boundary,feature_apex,feature_area,peak_corr,feature_area_subunits,intensity_ratio,stoichiometry_estimated,monomer_mw,monomer_sec,coelution_score,pvalue,qvalue,feature_id,best_feature,feature_count,relInt_sub,relInt_mean
bioplex,A2RU67,A2RU67,A2RU67;P54709;P80370;Q02297;Q401N2;Q5VX71;Q86Y82;Q8TDX6;Q9NU53;Q9Y287,10,A2RU67;P54709;Q86Y82;Q9Y287,4,A2RU67;P54709;Q86Y82;Q9Y287,4,0.4,1,15,11,3049488,0.893597637,40084;2290907;622771;94378,1;57.152654425706;15.5366480391179;2.35450553836942,1;57;16;2,67.039;31.513;31.642;30.338,51;58;58;58,0.938089508,0.022486772,0.022812668,11,1,1,0.65;0.39;0.51;0.45,0.5
bioplex,A5YKK6,A5YKK6,A5YKK6;O60939;P09237;P47755;Q86UV6;Q8WUE5;Q9UIV1,7,A5YKK6;P47755;Q9UIV1,3,A5YKK6;Q9UIV1,2,0.285714286,1,17,6,994513,0.982461914,634415;360098,1.76178429205383;1,2;1,266.939;32.745,37;57,0.899278694,0.037037037,0.032370623,12,1,1,0.71;0.63,0.67
bioplex,A6NHL2,A6NHL2,A6NHL2;O14530;P17987;P40227;P49368;P78371;Q92526;Q99832;Q9NVN3,9,O14530;P17987;P40227;P49368;P78371;Q99832,6,O14530;P17987;P40227;P49368;P78371;Q99832,6,0.666666667,23,37,29,58894437,0.978641019,714840;13212786;9379488;17330539;10873914;7382870,1;18.4835571596441;13.1211012254491;24.24394130155;15.2116753399362;10.3280034693078,1;18;13;24;15;10,26.534;60.344;58.024;60.534;57.488;59.367,59;52;52;51;52;52,0.999999764,0.000661376,0.001170711,13,1,3,0.85;0.83;0.83;0.82;0.64;0.77,0.79
bioplex,A6NHL2,A6NHL2,A6NHL2;O14530;P17987;P40227;P49368;P78371;Q92526;Q99832;Q9NVN3,9,O14530;P17987;P40227;P49368;P78371;Q99832,6,P17987;P49368;P78371;Q99832,4,0.444444444,1,14,11,2492152,0.973935647,708043;920987;431952;431170,1.642143470093;2.13601827585407;1.00181366978222;1,2;2;1;1,60.344;60.534;57.488;59.367,52;51;52;52,NA,NA,NA,14,0,3,0.04;0.04;0.03;0.04,0.0375
bioplex,A6NHL2,A6NHL2,A6NHL2;O14530;P17987;P40227;P49368;P78371;Q92526;Q99832;Q9NVN3,9,O14530;P17987;P40227;P49368;P78371;Q99832,6,P17987;Q99832,2,0.222222222,36,42,39,626151,0.770608111,344081;282070,1.21984259226433;1,1;1,60.344;59.367,52;52,NA,NA,NA,15,0,3,0.02;0.03,0.025
bioplex,A8MVW5,A8MVW5,A8MVW5;B0FP48;E7EN19;O00459;O14763;P04035;P09382;P10586;P11362;P27037;P36894;P36896;P55082;Q13332;Q14849;Q16739;Q5JSH3;Q7Z4F1;Q7Z736;Q86YB8;Q8NC42;Q8NFZ8;Q8TC12;Q8TCT0;Q8WUY8;Q92569;Q969Z4;Q9BT67;Q9BV94;Q9H223;Q9NP72;Q9NPF0;Q9NVH1;Q9UHQ9;Q9UI95,35,O00459;O14763;P09382;P10586;Q5JSH3;Q86YB8;Q8NFZ8;Q8TC12;Q9H223;Q9NP72;Q9NPF0;Q9NVH1;Q9UHQ9,13,Q8TC12;Q9NP72;Q9NPF0;Q9NVH1;Q9UHQ9,5,0.142857143,15,37,19,4012858,0.965486479,973819;1678600;298071;435083;626399,3.2670705972738;5.6315441622969;1;1.45966229522496;2.10150937192816,3;6;1;1;2,35.386;22.977;28.991;63.278;34.095,57;61;59;51;57,0.971148956,0.006613757,0.008516041,18,1,4,0.51;0.44;0.47;0.35;0.57,0.468
bioplex,A8MVW5,A8MVW5,A8MVW5;B0FP48;E7EN19;O00459;O14763;P04035;P09382;P10586;P11362;P27037;P36894;P36896;P55082;Q13332;Q14849;Q16739;Q5JSH3;Q7Z4F1;Q7Z736;Q86YB8;Q8NC42;Q8NFZ8;Q8TC12;Q8TCT0;Q8WUY8;Q92569;Q969Z4;Q9BT67;Q9BV94;Q9H223;Q9NP72;Q9NPF0;Q9NVH1;Q9UHQ9;Q9UI95,35,O00459;O14763;P09382;P10586;Q5JSH3;Q86YB8;Q8NFZ8;Q8TC12;Q9H223;Q9NP72;Q9NPF0;Q9NVH1;Q9UHQ9,13,Q9NP72;Q9NVH1;Q9UHQ9,3,0.085714286,1,15,11,2525015,0.873530166,1342055;720867;460301,2.91560305104703;1.56607741456134;1,3;2;1,22.977;63.278;34.095,61;51;57,NA,NA,NA,19,0,4,0.35;0.59;0.42,0.453333333
bioplex,A8MVW5,A8MVW5,A8MVW5;B0FP48;E7EN19;O00459;O14763;P04035;P09382;P10586;P11362;P27037;P36894;P36896;P55082;Q13332;Q14849;Q16739;Q5JSH3;Q7Z4F1;Q7Z736;Q86YB8;Q8NC42;Q8NFZ8;Q8TC12;Q8TCT0;Q8WUY8;Q92569;Q969Z4;Q9BT67;Q9BV94;Q9H223;Q9NP72;Q9NPF0;Q9NVH1;Q9UHQ9;Q9UI95,35,O00459;O14763;P09382;P10586;Q5JSH3;Q86YB8;Q8NFZ8;Q8TC12;Q9H223;Q9NP72;Q9NPF0;Q9NVH1;Q9UHQ9,13,P10586;Q8NFZ8;Q9NPF0,3,0.085714286,1,17,10,1064742,0.758234844,432634;254604;375495,1.69924274559708;1;1.47481972003582,2;1;1,212.879;42.785;28.991,39;55;59,NA,NA,NA,17,0,4,0.7;0.63;0.6,0.643333333
bioplex,A8MVW5,A8MVW5,A8MVW5;B0FP48;E7EN19;O00459;O14763;P04035;P09382;P10586;P11362;P27037;P36894;P36896;P55082;Q13332;Q14849;Q16739;Q5JSH3;Q7Z4F1;Q7Z736;Q86YB8;Q8NC42;Q8NFZ8;Q8TC12;Q8TCT0;Q8WUY8;Q92569;Q969Z4;Q9BT67;Q9BV94;Q9H223;Q9NP72;Q9NPF0;Q9NVH1;Q9UHQ9;Q9UI95,35,O00459;O14763;P09382;P10586;Q5JSH3;Q86YB8;Q8NFZ8;Q8TC12;Q9H223;Q9NP72;Q9NPF0;Q9NVH1;Q9UHQ9,13,P10586;Q5JSH3;Q9H223,3,0.085714286,20,38,24,705202,0.750146438,151443;486811;59021,2.5659172159062;8.24809813456227;1,3;8;1,212.879;101.366;61.175,39;47;51,NA,NA,NA,16,0,4,0.24;0.69;0.05,0.326666667
bioplex,A8MW92,A8MW92,A8MW92;O00629;O94776;O95983;Q12873;Q13330;Q13547;Q14839;Q16576;Q5TKA1;Q86YP4;Q8WXI9;Q9BTC8;Q9H165;Q9UBB5,15,O00629;O94776;O95983;Q13330;Q13547;Q14839;Q16576;Q86YP4;Q8WXI9;Q9BTC8;Q9UBB5,11,O94776;O95983;Q13330;Q13547;Q14839;Q16576;Q86YP4;Q8WXI9;Q9BTC8;Q9UBB5,10,0.666666667,11,23,17,4354974,0.912083831,825912;719069;404086;394375;366950;631389;281225;450056;213499;63025,13.1045140817136;11.4092661642205;6.41151923839746;6.25743752479175;5.8222927409758;10.018072193574;4.46211820706069;7.14091233637445;3.38752875842919;1,13;11;6;6;6;10;4;7;3;1,75.023;32.844;80.786;55.103;218.005;47.82;68.063;65.261;67.504;43.255,49;57;49;52;39;54;50;51;50;55,0.999999584,0.000661376,0.001170711,20,1,4,0.67;0.72;0.67;0.44;0.52;0.15;0.82;0.75;0.85;0.7,0.629
bioplex,A8MW92,A8MW92,A8MW92;O00629;O94776;O95983;Q12873;Q13330;Q13547;Q14839;Q16576;Q5TKA1;Q86YP4;Q8WXI9;Q9BTC8;Q9H165;Q9UBB5,15,O00629;O94776;O95983;Q13330;Q13547;Q14839;Q16576;Q86YP4;Q8WXI9;Q9BTC8;Q9UBB5,11,O94776;Q13330;Q16576;Q86YP4;Q9UBB5,5,0.333333333,21,33,24,1075347,0.950824987,370583;205853;366391;74484;47001,7.88457692389524;4.37975787749197;7.79538733218442;1.58473223973958;1,8;4;8;2;1,75.023;80.786;47.82;68.063;43.255,49;49;54;50;55,NA,NA,NA,21,0,4,0.3;0.34;0.09;0.22;0.52,0.294
bioplex,A8MW92,A8MW92,A8MW92;O00629;O94776;O95983;Q12873;Q13330;Q13547;Q14839;Q16576;Q5TKA1;Q86YP4;Q8WXI9;Q9BTC8;Q9H165;Q9UBB5,15,O00629;O94776;O95983;Q13330;Q13547;Q14839;Q16576;Q86YP4;Q8WXI9;Q9BTC8;Q9UBB5,11,Q13547;Q14839;Q16576;Q8WXI9,4,0.266666667,1,12,9,811516,0.955539155,276525;106329;304507;123565,2.6006545721299;1;2.86381890171073;1.16210064986974,3;1;3;1,55.103;218.005;47.82;65.261,52;39;54;51,NA,NA,NA,23,0,4,0.31;0.15;0.07;0.21,0.185
bioplex,B0FP48,B0FP48,A8MVW5;B0FP48;O43291;P58658;Q15884;Q5T2D2;Q7KYR7;Q8TDD5;Q9HBV2;Q9NV96;Q9Y279;Q9Y5M8;Q9Y6I9;UNKNOWN,14,O43291;Q7KYR7;Q9NV96;Q9Y5M8;Q9Y6I9,5,O43291;Q9NV96;Q9Y5M8;Q9Y6I9,4,0.285714286,1,17,10,1788369,0.910312545,168607;200851;1059180;358520,1;1.19123761172431;6.28194558944765;2.12636486029643,1;1;6;2,28.228;40.684;29.702;34.189,59;55;58;57,0.89548339,0.039021164,0.033421909,25,1,2,0.48;0.68;0.46;0.51,0.5325
bioplex,B0FP48,B0FP48,A8MVW5;B0FP48;O43291;P58658;Q15884;Q5T2D2;Q7KYR7;Q8TDD5;Q9HBV2;Q9NV96;Q9Y279;Q9Y5M8;Q9Y6I9;UNKNOWN,14,O43291;Q7KYR7;Q9NV96;Q9Y5M8;Q9Y6I9,5,O43291;Q9NV96,2,0.142857143,17,27,20,171963,0.747565034,88081;83882,1.05005841539305;1,1;1,28.228;40.684,59;55,NA,NA,NA,24,0,2,0.25;0.28,0.265
bioplex,B0V056,B0V056,A2RUU4;B0V056;O43529;O60911;P01042;P04233;P08185;P13747;P20036;P62699;Q02297;Q3KPI0;Q6VN20;Q8IUR7;Q8IVV7;Q8NFS9;Q8TAG5;Q96S59;Q9H871;Q9HD34;Q9NWU2;Q9UL63;Q9UN42;Q9UNP4;Q9Y275;Q9Y697,26,P62699;Q6VN20;Q8IUR7;Q96S59;Q9H871;Q9NWU2;Q9UL63;Q9Y697,8,P62699;Q6VN20;Q8IUR7;Q96S59;Q9H871;Q9NWU2,6,0.230769231,1,25,14,1880349,0.952728934,138056;161050;357632;590289;274215;340719,1;1.16655560062583;2.59048502057136;4.27572144636959;1.98625919916556;2.46797676305267,1;1;3;4;2;2,13.842;67.257;75.509;77.847;43.993;26.749,66;50;49;49;55;59,0.994332409,0.000661376,0.001170711,26,1,1,1;1;1;1;1;1,1
bioplex,B4DTM2,B4DTM2,B4DTM2;Q8N9I9;Q96CW1;Q9NVZ3,4,Q96CW1;Q9NVZ3,2,Q96CW1;Q9NVZ3,2,0.5,35,45,40,965837,0.985688064,461269;504568,1;1.09386930402867,1;1,49.655;28.339,53;59,0.95767586,0.011904762,0.013500245,27,1,1,0.71;0.75,0.73
