community_resource,complex_id,complex_name,subunits_annotated,n_subunits_annotated,subunits_with_MS_signal,n_subunits_with_MS_signal,subunits_coeluting,n_subunits_coeluting,completeness,left_feature_boundary,right_feature_boundary,feature_apex,feature_area,peak_corr,feature_area_subunits,intensity_ratio,stoichiometry_estimated,monomer_mw,monomer_sec,coelution_score,pvalue,qvalue,feature_id,best_feature,feature_count,relInt_sub,relInt_mean
bioplex,P30519,P30519,O43759;O60831;P18031;P30519;P62879;Q16880;Q6NUQ4;Q6S8J3;Q6UW68;Q8N5K1;Q9BRR6;Q9BU23;Q9H553,13,O43759;O60831;P18031;P30519;P62879;Q16880;Q6NUQ4;Q6UW68;Q8N5K1;Q9BRR6;Q9BU23,11,O43759;O60831;P30519;P62879;Q6UW68;Q8N5K1;Q9BRR6;Q9BU23,8,0.615384615,15,37,19,5678488,0.976021427,707120;868986;758694;434547;731969;1477537;258654;440028,2.73384521406976;3.35964647753369;2.93323899881695;1.68003201187687;2.82991564019888;5.71240730860532;1;1.70122248254425,3;3;3;2;3;6;1;2,25.456;19.258;36.033;37.331;21.198;15.278;54.089;79.698,60;62;56;56;62;65;53;49,NA,NA,NA,561,0,3,0.54;0.51;0.47;0.54;0.5;0.47;0.52;0.44,0.49875
bioplex,P30519,P30519,O43759;O60831;P18031;P30519;P62879;Q16880;Q6NUQ4;Q6S8J3;Q6UW68;Q8N5K1;Q9BRR6;Q9BU23;Q9H553,13,O43759;O60831;P18031;P30519;P62879;Q16880;Q6NUQ4;Q6UW68;Q8N5K1;Q9BRR6;Q9BU23,11,Q16880;Q6NUQ4,2,0.153846154,3,15,10,158067,0.944691744,59414;97740,1;1.64506681926819,1;2,61.438;77.151,51;49,NA,NA,NA,562,0,3,0.46;0.58,0.52
bioplex,P31689,P31689,O14939;O14949;O95714;P31689;Q14249;Q8IV13;Q96SU4;Q9BXB4,8,O14949;O95714;P31689;Q14249;Q96SU4;Q9BXB4,6,O14949;P31689;Q96SU4;Q9BXB4,4,0.5,1,23,10,3811121,0.89235365,1597162;1346349;602788;264279,6.04346921246107;5.0944229393936;2.28087740607464;1,6;5;2;1,9.906;44.868;83.185;83.643,69;54;48;48,0.968725854,0.007936508,0.009593581,563,1,1,0.78;0.42;0.66;0.97,0.7075
bioplex,P31930,P31930,P14927;P31930,2,P14927;P31930,2,P14927;P31930,2,1,1,31,9,6451493,0.974810013,2578138;3873355,1;1.50238466676338,1;2,13.53;52.646,66;53,0.97481,0.00462963,0.006276082,564,1,1,0.76;0.69,0.725
bioplex,P31947,P31947,P27348;P31947;P61981;P63104;Q6ICG6;Q8N2A8;Q9BVG3;Q9BWT1;Q9H2C0,9,P27348;P31947;P61981;P63104;Q6ICG6;Q9H2C0,6,P27348;P31947;P61981;P63104,4,0.444444444,45,75,50,28394590,0.891783977,5811497;39789;3931203;18593227,146.057880318681;1;98.8012516022016;467.295659604413,146;1;99;467,27.764;27.774;28.303;27.745,59;59;59;59,0.953274248,0.013888889,0.015476765,565,1,2,0.88;1;0.8;0.88,0.89
bioplex,P31947,P31947,P27348;P31947;P61981;P63104;Q6ICG6;Q8N2A8;Q9BVG3;Q9BWT1;Q9H2C0,9,P27348;P31947;P61981;P63104;Q6ICG6;Q9H2C0,6,P61981;P63104,2,0.222222222,1,15,9,565807,0.981632336,149766;416041,1;2.77794025346207,1;3,28.303;27.745,59;59,NA,NA,NA,566,0,2,0.03;0.02,0.025
bioplex,P32322,P32322,P32322;Q53H96;Q6PID8;Q96C36;Q9UKK9,5,P32322;Q53H96;Q96C36;Q9UKK9,4,P32322;Q96C36,2,0.4,27,44,38,2204452,0.994765123,467147;1737305,1;3.71896854737374,1;4,33.361;33.637,57;57,0.979224252,0.003306878,0.004612856,568,1,4,0.97;0.83,0.9
bioplex,P32322,P32322,P32322;Q53H96;Q6PID8;Q96C36;Q9UKK9,5,P32322;Q53H96;Q96C36;Q9UKK9,4,Q53H96;Q96C36,2,0.4,1,13,10,160145,0.917460444,114295;45850,2.4928026172301;1,2;1,28.663;33.637,59;57,NA,NA,NA,569,0,4,0.21;0.02,0.115
bioplex,P32322,P32322,P32322;Q53H96;Q6PID8;Q96C36;Q9UKK9,5,P32322;Q53H96;Q96C36;Q9UKK9,4,P32322;Q96C36,2,0.4,13,27,24,246665,0.811672948,19183;224197,1;11.6872751915759,1;12,33.361;33.637,57;57,NA,NA,NA,567,0,4,0.04;0.11,0.075
bioplex,P32322,P32322,P32322;Q53H96;Q6PID8;Q96C36;Q9UKK9,5,P32322;Q53H96;Q96C36;Q9UKK9,4,Q53H96;Q9UKK9,2,0.4,31,46,41,2073156,0.596198121,130699;1941249,1;14.8528221332986,1;15,28.663;24.328,59;60,NA,NA,NA,570,0,4,0.24;0.4,0.32
bioplex,P34897,P34897,P34897;Q9NWV8,2,P34897;Q9NWV8,2,P34897;Q9NWV8,2,1,20,31,25,408679,0.95932427,61889;342328,1;5.53132220588473,1;6,55.993;36.56,52;56,0.9593243,0.010582011,0.012143291,571,1,1,0;0.63,0.315
bioplex,P35244,P35244,P15927;P35244;Q13156,3,P15927;P35244,2,P15927;P35244,2,0.666666667,40,50,45,2347756,0.988637374,1028236;1319520,1;1.28328516021614,1;1,29.247;13.569,58;66,0.977403909,0.003306878,0.004612856,573,1,2,0.46;0.48,0.47
bioplex,P35244,P35244,P15927;P35244;Q13156,3,P15927;P35244,2,P15927;P35244,2,0.666666667,25,40,37,283677,0.89773508,131951;148080,1;1.12223476896727,1;1,29.247;13.569,58;66,NA,NA,NA,572,0,2,0.06;0.05,0.055
bioplex,P35613,P35613,A6NJ78;O00567;O14733;O14981;O15228;O15360;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P20711;P23634;P33897;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q14CZ7;Q15031;Q15051;Q29RF7;Q53R41;Q5JPH6;Q5SVS4;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6JQN1;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P1S2;Q6P2E9;Q6P2Q9;Q6P9B9;Q6SPF0;Q7Z3J2;Q86U38;Q86UT6;Q86Y56;Q8N1B4;Q8N335;Q8TCX1;Q8WTW3;Q8WUK0;Q92616;Q92797;Q969Z0;Q96A26;Q96A65;Q96AY4;Q96CB8;Q96JB2;Q96JG6;Q96KP1;Q96MM6;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H300;Q9H9E3;Q9HA92;Q9NTI5;Q9NU22;Q9NUQ2;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,92,O00567;O14733;O14981;O15228;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q15031;Q29RF7;Q5JPH6;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P2E9;Q6P2Q9;Q6P9B9;Q7Z3J2;Q86U38;Q86Y56;Q8N1B4;Q8N335;Q8WTW3;Q92616;Q92797;Q96A26;Q96A65;Q96JB2;Q96JG6;Q96KP1;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H9E3;Q9NTI5;Q9NU22;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,70,O14981;O15397;O43264;O43301;O60645;O75155;O94874;O94906;P35613;P42345;P83436;Q08AM6;Q13395;Q13505;Q13535;Q14746;Q29RF7;Q5VYK3;Q658P3;Q6AI08;Q6NUK1;Q6NXR4;Q6P2Q9;Q6P9B9;Q86Y56;Q92616;Q92797;Q96A26;Q96A65;Q96JB2;Q96JG6;Q96KP1;Q96MW5;Q9BTW9;Q9BUQ8;Q9C0E2;Q9NV70;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9Y4R8,44,0.47826087,1,17,9,20444616,0.782348349,205097;611019;328843;198554;331652;115272;718052;361158;5954593;406613;209488;223846;159095;269251;135837;276047;352694;640526;252097;71629;732662;77586;400995;45055;481883;1810822;378494;743971;371892;144074;61341;306901;298202;198772;422174;111942;164002;43785;554651;80064;487496;95455;353252;246966,4.68418408130638;13.9549845837616;7.51040310608656;4.53474934338244;7.57455749685966;2.63268242548818;16.3994975448213;8.2484412470024;135.996185908416;9.28658216284115;4.78446956720338;5.11239008792966;3.63355030261505;6.14938906018043;3.10236382322713;6.30460203265959;8.055133036428;14.6288911727761;5.75761105401393;1.63592554527806;16.733173461231;1.77197670435081;9.15827338129496;1.02900536713486;11.0056640401964;41.357131437707;8.64437592782916;16.9914582619619;8.49359369647139;3.29048760991207;1.40095923261391;7.00927258193445;6.81059723649652;4.53972821742606;9.64197784629439;2.55662898252826;3.74562064634007;1;12.6676030604088;1.82857142857143;11.1338586273838;2.18008450382551;8.06787712686993;5.64042480301473,5;14;8;5;8;3;16;8;136;9;5;5;4;6;3;6;8;15;6;2;17;2;9;1;11;41;9;17;8;3;1;7;7;5;10;3;4;1;13;2;11;2;8;6,206.887;119.938;88.829;74.978;86.845;135.256;89.595;106.925;42.2;288.892;86.344;87.973;181.675;51.477;301.367;83.208;150.83;204.291;54.601;128.781;53.354;56.915;273.6;107.995;93.521;292.758;141.148;17.342;110.498;94.096;111.174;104.066;68.424;132.6;95.583;130.139;101.982;22.151;12.878;112.535;123.907;86.042;92.743;91.747,40;45;48;49;48;44;48;46;55;37;48;48;41;53;36;48;43;40;52;44;53;52;37;46;47;36;43;63;46;47;46;46;50;44;47;44;46;61;66;46;45;48;47;48,0.999999934,0.000661376,0.001170711,577,1,16,0.58;0.49;0.57;0.71;0.73;0.7;0.41;0.58;0.38;0.75;0.87;0.88;0.5;0.27;0.81;0.77;0.33;0.44;0.73;0.62;0.56;0.68;0.34;0.87;0.31;0.57;0.57;0.53;0.67;0.89;0.46;0.68;0.82;0.13;0.56;0.61;0.61;0.13;0.72;0.21;0.38;0.48;0.81;0.58,0.574772727
bioplex,P35613,P35613,A6NJ78;O00567;O14733;O14981;O15228;O15360;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P20711;P23634;P33897;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q14CZ7;Q15031;Q15051;Q29RF7;Q53R41;Q5JPH6;Q5SVS4;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6JQN1;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P1S2;Q6P2E9;Q6P2Q9;Q6P9B9;Q6SPF0;Q7Z3J2;Q86U38;Q86UT6;Q86Y56;Q8N1B4;Q8N335;Q8TCX1;Q8WTW3;Q8WUK0;Q92616;Q92797;Q969Z0;Q96A26;Q96A65;Q96AY4;Q96CB8;Q96JB2;Q96JG6;Q96KP1;Q96MM6;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H300;Q9H9E3;Q9HA92;Q9NTI5;Q9NU22;Q9NUQ2;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,92,O00567;O14733;O14981;O15228;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q15031;Q29RF7;Q5JPH6;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P2E9;Q6P2Q9;Q6P9B9;Q7Z3J2;Q86U38;Q86Y56;Q8N1B4;Q8N335;Q8WTW3;Q92616;Q92797;Q96A26;Q96A65;Q96JB2;Q96JG6;Q96KP1;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H9E3;Q9NTI5;Q9NU22;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,70,O60645;O94906;P83436;Q13535;Q6P2Q9;Q6P9B9;Q96A65;Q96KP1;Q9BQG0;Q9BUQ8;Q9Y4R8,11,0.119565217,15,31,24,2507579,0.641988213,164683;307332;46107;43878;812113;12530;221819;168927;137736;402952;175881,13.1430965682362;24.5276935355148;3.67972865123703;3.50183559457302;64.8134876296888;1;17.7030327214685;13.4818036711891;10.9924980047885;32.1589784517159;14.0367916999202,13;25;4;4;65;1;18;13;11;32;14,86.845;106.925;86.344;301.367;273.6;107.995;110.498;104.066;148.855;95.583;91.747,48;46;48;36;37;46;46;46;43;47;48,NA,NA,NA,580,0,16,0.36;0.49;0.19;0.26;0.69;0.24;0.4;0.37;0.13;0.53;0.41,0.37
bioplex,P35613,P35613,A6NJ78;O00567;O14733;O14981;O15228;O15360;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P20711;P23634;P33897;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q14CZ7;Q15031;Q15051;Q29RF7;Q53R41;Q5JPH6;Q5SVS4;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6JQN1;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P1S2;Q6P2E9;Q6P2Q9;Q6P9B9;Q6SPF0;Q7Z3J2;Q86U38;Q86UT6;Q86Y56;Q8N1B4;Q8N335;Q8TCX1;Q8WTW3;Q8WUK0;Q92616;Q92797;Q969Z0;Q96A26;Q96A65;Q96AY4;Q96CB8;Q96JB2;Q96JG6;Q96KP1;Q96MM6;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H300;Q9H9E3;Q9HA92;Q9NTI5;Q9NU22;Q9NUQ2;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,92,O00567;O14733;O14981;O15228;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q15031;Q29RF7;Q5JPH6;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P2E9;Q6P2Q9;Q6P9B9;Q7Z3J2;Q86U38;Q86Y56;Q8N1B4;Q8N335;Q8WTW3;Q92616;Q92797;Q96A26;Q96A65;Q96JB2;Q96JG6;Q96KP1;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H9E3;Q9NTI5;Q9NU22;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,70,P35613;Q13505;Q86Y56;Q96A26;Q9UIA9,5,0.054347826,15,31,19,6917839,0.954324793,5063164;310047;464293;717614;362721,16.3303112108809;1;1.49749231568117;2.31453295790638;1.16989037145981,16;1;1;2;1,42.2;51.477;93.521;17.342;123.907,55;53;47;63;45,NA,NA,NA,581,0,16,0.32;0.31;0.29;0.51;0.28,0.342
bioplex,P35613,P35613,A6NJ78;O00567;O14733;O14981;O15228;O15360;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P20711;P23634;P33897;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q14CZ7;Q15031;Q15051;Q29RF7;Q53R41;Q5JPH6;Q5SVS4;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6JQN1;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P1S2;Q6P2E9;Q6P2Q9;Q6P9B9;Q6SPF0;Q7Z3J2;Q86U38;Q86UT6;Q86Y56;Q8N1B4;Q8N335;Q8TCX1;Q8WTW3;Q8WUK0;Q92616;Q92797;Q969Z0;Q96A26;Q96A65;Q96AY4;Q96CB8;Q96JB2;Q96JG6;Q96KP1;Q96MM6;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H300;Q9H9E3;Q9HA92;Q9NTI5;Q9NU22;Q9NUQ2;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,92,O00567;O14733;O14981;O15228;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q15031;Q29RF7;Q5JPH6;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P2E9;Q6P2Q9;Q6P9B9;Q7Z3J2;Q86U38;Q86Y56;Q8N1B4;Q8N335;Q8WTW3;Q92616;Q92797;Q96A26;Q96A65;Q96JB2;Q96JG6;Q96KP1;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H9E3;Q9NTI5;Q9NU22;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,70,Q08AM6;Q14746;Q6NUQ1;Q9NV70,4,0.043478261,19,30,23,175036,0.764932795,25832;65128;26634;52572,1;2.52121399814184;1.03104676370393;2.03515020130071,1;3;1;2,87.973;83.208;90.632;101.982,48;48;48;46,NA,NA,NA,582,0,16,0.1;0.18;0.15;0.19,0.155
bioplex,P35613,P35613,A6NJ78;O00567;O14733;O14981;O15228;O15360;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P20711;P23634;P33897;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q14CZ7;Q15031;Q15051;Q29RF7;Q53R41;Q5JPH6;Q5SVS4;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6JQN1;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P1S2;Q6P2E9;Q6P2Q9;Q6P9B9;Q6SPF0;Q7Z3J2;Q86U38;Q86UT6;Q86Y56;Q8N1B4;Q8N335;Q8TCX1;Q8WTW3;Q8WUK0;Q92616;Q92797;Q969Z0;Q96A26;Q96A65;Q96AY4;Q96CB8;Q96JB2;Q96JG6;Q96KP1;Q96MM6;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H300;Q9H9E3;Q9HA92;Q9NTI5;Q9NU22;Q9NUQ2;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,92,O00567;O14733;O14981;O15228;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q15031;Q29RF7;Q5JPH6;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P2E9;Q6P2Q9;Q6P9B9;Q7Z3J2;Q86U38;Q86Y56;Q8N1B4;Q8N335;Q8WTW3;Q92616;Q92797;Q96A26;Q96A65;Q96JB2;Q96JG6;Q96KP1;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H9E3;Q9NTI5;Q9NU22;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,70,O14981;O60645;Q5VYK3,3,0.032608696,15,33,18,828520,0.980980829,153583;164683;507825,1;1.07227362403391;3.30651829955138,1;1;3,206.887;86.845;204.291,40;48;40,NA,NA,NA,578,0,16,0.43;0.36;0.35,0.38
bioplex,P35613,P35613,A6NJ78;O00567;O14733;O14981;O15228;O15360;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P20711;P23634;P33897;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q14CZ7;Q15031;Q15051;Q29RF7;Q53R41;Q5JPH6;Q5SVS4;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6JQN1;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P1S2;Q6P2E9;Q6P2Q9;Q6P9B9;Q6SPF0;Q7Z3J2;Q86U38;Q86UT6;Q86Y56;Q8N1B4;Q8N335;Q8TCX1;Q8WTW3;Q8WUK0;Q92616;Q92797;Q969Z0;Q96A26;Q96A65;Q96AY4;Q96CB8;Q96JB2;Q96JG6;Q96KP1;Q96MM6;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H300;Q9H9E3;Q9HA92;Q9NTI5;Q9NU22;Q9NUQ2;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,92,O00567;O14733;O14981;O15228;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q15031;Q29RF7;Q5JPH6;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P2E9;Q6P2Q9;Q6P9B9;Q7Z3J2;Q86U38;Q86Y56;Q8N1B4;Q8N335;Q8WTW3;Q92616;Q92797;Q96A26;Q96A65;Q96JB2;Q96JG6;Q96KP1;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H9E3;Q9NTI5;Q9NU22;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,70,O00567;Q9BQG0;Q9NVN8,3,0.032608696,1,21,5,1249596,0.879649647,258573;938974;42747,6.0489157133834;21.9658455564133;1,6;22;1,66.05;148.855;65.573,51;43;51,NA,NA,NA,574,0,16,1;0.89;1,0.963333333
bioplex,P35613,P35613,A6NJ78;O00567;O14733;O14981;O15228;O15360;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P20711;P23634;P33897;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q14CZ7;Q15031;Q15051;Q29RF7;Q53R41;Q5JPH6;Q5SVS4;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6JQN1;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P1S2;Q6P2E9;Q6P2Q9;Q6P9B9;Q6SPF0;Q7Z3J2;Q86U38;Q86UT6;Q86Y56;Q8N1B4;Q8N335;Q8TCX1;Q8WTW3;Q8WUK0;Q92616;Q92797;Q969Z0;Q96A26;Q96A65;Q96AY4;Q96CB8;Q96JB2;Q96JG6;Q96KP1;Q96MM6;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H300;Q9H9E3;Q9HA92;Q9NTI5;Q9NU22;Q9NUQ2;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,92,O00567;O14733;O14981;O15228;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q15031;Q29RF7;Q5JPH6;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P2E9;Q6P2Q9;Q6P9B9;Q7Z3J2;Q86U38;Q86Y56;Q8N1B4;Q8N335;Q8WTW3;Q92616;Q92797;Q96A26;Q96A65;Q96JB2;Q96JG6;Q96KP1;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H9E3;Q9NTI5;Q9NU22;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,70,O15228;O15397,2,0.02173913,20,33,24,337016,0.91321799,87507;249095,1;2.84657227421806,1;3,77.188;119.938,49;45,NA,NA,NA,579,0,16,0.33;0.2,0.265
bioplex,P35613,P35613,A6NJ78;O00567;O14733;O14981;O15228;O15360;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P20711;P23634;P33897;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q14CZ7;Q15031;Q15051;Q29RF7;Q53R41;Q5JPH6;Q5SVS4;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6JQN1;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P1S2;Q6P2E9;Q6P2Q9;Q6P9B9;Q6SPF0;Q7Z3J2;Q86U38;Q86UT6;Q86Y56;Q8N1B4;Q8N335;Q8TCX1;Q8WTW3;Q8WUK0;Q92616;Q92797;Q969Z0;Q96A26;Q96A65;Q96AY4;Q96CB8;Q96JB2;Q96JG6;Q96KP1;Q96MM6;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H300;Q9H9E3;Q9HA92;Q9NTI5;Q9NU22;Q9NUQ2;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,92,O00567;O14733;O14981;O15228;O15397;O43264;O43301;O43502;O60645;O75155;O75691;O94874;O94906;P16383;P35613;P42345;P50579;P50748;P83436;Q08AM6;Q13315;Q13395;Q13505;Q13535;Q14746;Q15031;Q29RF7;Q5JPH6;Q5VIR6;Q5VYK3;Q658P3;Q6AI08;Q6NUK1;Q6NUQ1;Q6NXR4;Q6P2E9;Q6P2Q9;Q6P9B9;Q7Z3J2;Q86U38;Q86Y56;Q8N1B4;Q8N335;Q8WTW3;Q92616;Q92797;Q96A26;Q96A65;Q96JB2;Q96JG6;Q96KP1;Q96MW5;Q9BPY3;Q9BQG0;Q9BTW9;Q9BUQ8;Q9C0E2;Q9H9E3;Q9NTI5;Q9NU22;Q9NV70;Q9NVN8;Q9UBI1;Q9UFG5;Q9UI26;Q9UIA9;Q9UID3;Q9UP83;Q9UQ16;Q9Y4R8,70,Q92797;Q96A65,2,0.02173913,15,31,18,458840,0.896917472,237021;221819,1.06853335377042;1,1;1,141.148;110.498,43;46,NA,NA,NA,587,0,16,0.36;0.4,0.38
