Complex_ID,Complex_Name,Subunits_UniProt_IDs,Database
Complex_420,Ikaros-NuRD complex,"O08900, P81183, P70288, Q6PDQ2, Q03267, O09106","CORUM_Core, CORUM_All"
Complex_421,Ppp3cb-RyR2-mAkap complex,"O08661, P20651, Q9WVC7","CORUM_Core, CORUM_All"
Complex_422,Mi2/NuRD-BCL6-MTA3 complex,"Q9BTC8, P41182, Q14839, Q13547, O95983","CORUM_Core, CORUM_All"
Complex_423,Ccnb1-Itpr1-Cdk1 signaling complex,"P29994, P30277, P39951","CORUM_Core, CORUM_All"
Complex_424,NuRD.1 complex,"Q09028, Q16576, Q92769, Q9BTC8, Q6IT96, Q14839, O95983, Q13330","CORUM_Core, CORUM_All"
Complex_425,"Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart","Q8HXG5, P34943, Q02370, P17694, Q02377, Q02366, P42028, Q02374, P10175, P23004, Q02365, P00125, P04394, Q02373, Q02376, P34942, P07552, Q02367, P00129, Q02372, P48305, P13271, P04038, P00429, P25712, P31800, Q02379, Q02369, O97725, P42026, Q02827, P00396, Q02368, P13183, Q05752, Q02371, P03887, P23935, P03920, P00428, P52505, Q95KV7, P23934, P00430, P23709, P00415, Q02380, P00426, P13182, P15690, P42029, Q02378, P25708, P03892, P68530, P13184, Q01321, P03910, P00130, P00157, P00423, P03924, Q8HXG6, P13272, Q02375, P03898, P03902, P00126","CORUM_Core, CORUM_All"
Complex_426,Kv4.2-KChIP3-Dpp10 channel complex,"Q9JM47, Q63881, Q6Q629","CORUM_Core, CORUM_All"
Complex_427,SAP complex (Sin3-associated protein complex),"Q09028, Q16576, Q9H7L9, Q1EHW4, O75446, Q92769, O00422, Q8TEE9, Q13547, Q96ST3, Q4LE39, Q9H0E3","CORUM_Core, CORUM_All"
Complex_428,Kv4.2-Dpp10 channel complex,"Q63881, Q6Q629","CORUM_Core, CORUM_All"
Complex_429,Kv4.2-Dpp6 channel complex,"P46101, Q63881","CORUM_Core, CORUM_All"
Complex_430,Kv4.2-DPP10 channel complex,"Q9NZV8, Q8N608","CORUM_Core, CORUM_All"
Complex_431,Cx43-Tom20-Hsp90ab complex,"Q62760, P08050, P34058","CORUM_Core, CORUM_All"
Complex_432,Kv4.3-Dpp10 channel complex,"Q62897, Q6Q629","CORUM_Core, CORUM_All"
Complex_433,Kv4.3-Dpp6 channel complex,"P46101, Q62897","CORUM_Core, CORUM_All"
Complex_434,Kv4.1-Dpp6 channel complex,"P46101, D3ZYK3","CORUM_Core, CORUM_All"
Complex_435,Kv4.1-Dpp10 channel complex,"Q6Q629, D3ZYK3","CORUM_Core, CORUM_All"
Complex_436,Kv4.2-DPPX-KChIP channel complex,"Q8R426, P46101, Q63881","CORUM_Core, CORUM_All"
Complex_437,"TIM (TIM17A, TIM17B, TIM23, TIM44) complex, mitochondrial","O43615, O14925, Q99595, O60830","CORUM_Core, CORUM_All"
Complex_438,Kv4.2-Kchip1 channel complex,"Q8R426, Q63881","CORUM_Core, CORUM_All"
Complex_439,Kv4.2-Kchip2 channel complex,"Q9JM59, Q63881","CORUM_Core, CORUM_All"
Complex_440,Kv4.2-Kchip3 channel complex,"Q9JM47, Q63881","CORUM_Core, CORUM_All"
Complex_441,Kv4.2-Kv4.3 channel complex,"Q62897, Q63881","CORUM_Core, CORUM_All"
Complex_442,MSL complex,"Q7Z3B3, Q9H7Z6, Q8N5Y2, Q9HCI7","CORUM_Core, CORUM_All"
Complex_443,Exocyst complex,"P97878, O54922, Q62825, O54924, Q62824, O54923, O54921, Q8R3S6","CORUM_Core, CORUM_All"
Complex_444,CTF18-CTF8-DCC1 complex,"Q8WVB6, Q9BVC3, P0CG13, P40938","CORUM_Core, CORUM_All"
Complex_445,NRD complex (Nucleosome remodeling and deacetylation complex),"Q09028, Q92769, Q12873, Q14839, Q13547, Q13330, O60341","CORUM_Core, CORUM_All"
Complex_446,"TIM (Tim17A, Tim23, Tim44, Hsp70) complex, mitochondrial","P0DMW0, O35093, O35094, O35092","CORUM_Core, CORUM_All"
Complex_447,CASK-LIN7C-APBA1 complex,"Q02410, Q9NUP9, O14936","CORUM_Core, CORUM_All"
Complex_448,CoREST-HDAC complex,"P51587, Q96BD5, Q92769, O75362, Q13547, Q9UKL0, Q9P0W2, O60341","CORUM_Core, CORUM_All"
Complex_449,"TIM (TIM9, TIM10) complex, mitochondrial","P62072, Q9Y5J7","Humap2, CORUM_Core, Heusel_StringDB_2019, CORUM_All"
Complex_450,LSD1-CoREST complex,"Q9UKL0, O60341","Heusel_BioPlex_2019, CORUM_Core, CORUM_All"
Complex_451,LSD1 complex,"Q96BD5, Q9P2K3, O75362, Q13547, P0DMV8, Q92766, Q96EK2, Q9NP66, Q9P0W2, Q13363, Q9UKL0, O60341, P0DMV9, Q9UBW7","CORUM_Core, CORUM_All"
Complex_452,"SNARE complex (Vti1b, Stx7, Stx8, Vamp8)","Q9WUF4, Q9Z2Q7, P58200, O70257","CORUM_Core, CORUM_All"
Complex_453,BLM-TRF2 complex,"P62380, P54132","CORUM_Core, CORUM_All"
Complex_454,RyR2 macromolecular complex,"P27791, P63331, O08661, P62138, P12368, P97534","CORUM_Core, CORUM_All"
Complex_455,Tacc1-chTOG-AuroraA  complex,"O75410, Q14008, O14965","CORUM_Core, CORUM_All"
Complex_456,Anti-HDAC2 complex,"Q09028, Q16576, Q96BD5, Q92769, Q12873, Q14839, Q14202, Q13547, O94776, P78347, Q96ST3, Q14687, Q9P0W2, Q9UKL0, Q13330, O60341, Q9UBW7","CORUM_Core, CORUM_All"
Complex_457,anti-BHC110 complex,"Q96BD5, Q92769, Q92618, Q14202, O75362, Q13547, P78347, Q9UKL0, Q14687, Q9P0W2, O60341, Q9UBW7","CORUM_Core, CORUM_All"
Complex_458,XFIM complex,"Q92769, Q14202, Q13547, P78347, O60341","CORUM_Core, CORUM_All"
Complex_459,AGPS-GNPAT complex,"O00116, O15228","CORUM_Core, CORUM_All"
Complex_460,"cGMP kinase signaling complex (IP3RI, IRAG, cGKI-beta)","P00516, Q9TU34, Q9N1F0","CORUM_Core, CORUM_All"
Complex_461,RANBPM-Muskelin-TWA1-HSMpp8 complex,"Q96S59, Q9UL63, Q9NWU2, Q99549","CORUM_Core, CORUM_All"
Complex_462,"SNARE complex (Snap47, Stx1a, Vamp2)","P32851, P63045, Q6P6S0","CORUM_Core, CORUM_All"
Complex_463,RANBPM-SMP1 complex,"Q96S59, O95807","CORUM_Core, CORUM_All"
Complex_464,CtBP complex,"O60315, P56545, Q92769, Q96JN0, Q9P2K3, P37275, Q9Y232, O75362, Q13547, Q96KQ7, Q92766, Q9H9B1, Q9UKL0, Q92618, Q13363, O00257, O60341","CORUM_Core, CORUM_All"
Complex_465,CtBP core complex,"P56545, Q92769, P37275, Q13547, Q96KQ7, Q9UKL0, Q9H9B1, Q13363, O60341","CORUM_Core, CORUM_All"
Complex_466,ASPP1-SAM68 complex,"Q07666, Q96KQ4","CORUM_Core, CORUM_All"
Complex_467,HDAC1-associated protein complex,"Q86YP4, Q09028, Q16576, Q9UBB5, Q12873, Q13547, O94776, Q9UKL0, O95983, O60341","CORUM_Core, CORUM_All"
Complex_468,HPFH(-198) complex,"O70422, Q3THK3, P69892, P13864","CORUM_Core, CORUM_All"
Complex_469,HDAC1-associated core complex cI,"Q13547, O60341, Q9UKL0","CORUM_Core, CORUM_All"
Complex_470,HDAC2-asscociated core complex,"Q86YP4, Q09028, Q16576, Q92769, Q12873, O94776, O95983","CORUM_Core, CORUM_All"
Complex_471,"SNARE complex (Stx1a, Snap25, Vamp2)","P84087, P60881, P63045, P32851, P63041, P21707","CORUM_Core, CORUM_All"
Complex_472,AP3-BLOC1 complex,"O14617, Q9Y2T2, Q6QNY1, Q9NUP1, P78537, Q8TDH9, Q92572, O95295, Q9UL45, Q96EV8, Q6QNY0, Q13367, P59780, P53677, O00203","CORUM_Core, CORUM_All"
Complex_473,"SNARE complex (Ykt6, Stx5, Gosr2, Bet1)","Q5EGY4, Q08851, O35165, Q62896","CORUM_Core, CORUM_All"
Complex_474,HSF1-HSF2 complex,"Q03933, Q00613","CORUM_Core, Humap2, CORUM_All"
Complex_475,VPS35-VPS29-VPS26A complex,"Q96QK1, O75436, Q9UBQ0","Humap2, CORUM_All"
Complex_476,"Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)","O60749, Q9UBQ0, Q96QK1, O75436, Q13596","CORUM_Core, CORUM_All"
Complex_477,"SNARE complex (Stx5, Gosr2, Sec22b, Bet1)","Q4KM74, Q08851, O35165, Q62896","CORUM_Core, CORUM_All"
Complex_478,Karyopherin complex,"P52296, P25961, P83953","CORUM_Core, CORUM_All"
Complex_479,Hoxa9-PBX2-Meis1 complex,"Q60954, P40425, P09631","CORUM_Core, CORUM_All"
Complex_480,"SNARE complex (Stx5, Ykt6, Gosr1, Bet1)","Q62931, Q5EGY4, Q08851, O35152","CORUM_Core, CORUM_All"
Complex_481,BKCA alpha-Cav1.2 channel complex,"P22002, Q62976","CORUM_Core, CORUM_All"
Complex_482,BKCA alpha-Cav2.1 channel complex,"P54282, Q62976","CORUM_Core, CORUM_All"
Complex_483,BKCA alpha-Cav2.2 channel complex,"Q02294, Q62976","CORUM_Core, CORUM_All"
Complex_484,BKCA-beta2AR-AKAP79 signaling complex,"Q12791, P24588, P07550","CORUM_Core, CORUM_All"
Complex_485,beta2AR-AKAP79/150  complex,"P24587, P10608","CORUM_Core, CORUM_All"
Complex_486,BKCa-AKAP79/150 complex,"P24587, Q62976","CORUM_Core, CORUM_All"
Complex_487,BKCa-beta2AR complex,"P10608, Q62976",CORUM_All
Complex_488,BKCA-beta2AR complex,"Q12791, P07550","CORUM_Core, CORUM_All"
Complex_489,"SNARE complex (Stx5, p97, Nsfl1c)","Q08851, P46462, O35987","CORUM_Core, CORUM_All"
Complex_490,TMP21-P24 complex,"P97799, Q9D1D4","CORUM_Core, CORUM_All"
Complex_491,Metallothionein-3 complex,"O08553, Q04447, P11499, P28184, P60710, Q61696","CORUM_Core, CORUM_All"
Complex_492,Mt3-Hsp84-Ck complex,"P11499, Q04447, P28184","CORUM_Core, CORUM_All"
Complex_493,GINS complex,"Q14691, Q9Y248, Q9BRT9, Q9BRX5, Q9Y6K9","Heusel_CSB_2019, CORUM_All, Heusel_StringDB_2019, CORUM_Core, Humap2, Havugimana_2012"
Complex_494,Tis7-Sin3-Hdac1-Ncor1-Sap30 complex,"Q60974, O88574, P19182, Q62141, O09106","CORUM_Core, CORUM_All"
Complex_495,RANBMP-CD39 complex,"P49961, P43487","CORUM_Core, CORUM_All"
Complex_496,C-CFTR-NHERF-ezrin complex,"P13569, O14745, P15311","CORUM_Core, CORUM_All"
Complex_497,PAX9-MSX1 complex,"P55771, P28360","CORUM_Core, CORUM_All"
Complex_498,Apg16L-Apg12-Apg5 complex,"Q9CQY1, Q99J83, Q8C0J2","CORUM_Core, CORUM_All"
Complex_499,CFTR-NHERF-beta(2)AR signaling complex,"P13569, O14745, P07550","CORUM_Core, CORUM_All"
Complex_500,Cd2ap-Fyn complex,"P39688, Q9JLQ0","CORUM_Core, CORUM_All"
Complex_501,Cd2ap-Synpo complex,"Q8CC35, Q9JLQ0","CORUM_Core, CORUM_All"
Complex_502,LysRS-Hint-Mitf complex,"Q5XIM7, P62959, O88368","CORUM_Core, CORUM_All"
Complex_503,"TOM complex (Tom20, Tom22, Tom70), mitochondrial","Q75Q39, Q75Q41, Q62760",CORUM_All
Complex_504,Bad-Gk-Wave1-Pkaca-Ppp1cc complex,"Q8R5H6, Q3U9H3, P52792, Q3U7K1, P05132","CORUM_Core, CORUM_All"
Complex_505,BRMS1-SIN3-HDAC complex,"Q09028, Q16576, O75446, Q92769, O75182, Q13547, Q9HCU9, Q96ST3","CORUM_Core, CORUM_All"
Complex_506,BRMS1-RBP1 complex,"Q4LE39, Q9HCU9","CORUM_Core, CORUM_All"
Complex_507,Snap25-caveolin complex,"P60881, P41350","CORUM_Core, CORUM_All"
Complex_508,HuR-Tia1-Tiar-Hrnpu complex,"B5DF91, Q5PQR7, Q5BJN3, Q6IMY8","CORUM_Core, CORUM_All"
Complex_509,ARD1-NATH complex,"P36406, Q9BXJ9","CORUM_Core, CORUM_All"
Complex_510,"SNARE complex (Vamp7, Stx5, Bet1, Vti1a)","Q9JI51, Q9JHW5, Q08851, Q62896","CORUM_Core, CORUM_All"
Complex_511,"SNARE complex (RINT1, ZW10, p31, Stx18)","O43264, Q6NUQ1, Q68FW4, P48556","CORUM_Core, CORUM_All"
Complex_512,"SNARE complex (HGS, SNAP25, STX13)","P60880, O14964, Q86Y82","CORUM_Core, CORUM_All"
Complex_513,"SNARE complex (VAMP2, SNAP25, STX13)","P60880, P63027, Q86Y82","CORUM_Core, CORUM_All"
Complex_514,Brg1-associated complex I,"Q92769, O14744, P51531, P51532, Q969G3, Q96ST3, O96019, Q92922, Q96GM5, O14497, Q92925, Q12824, Q8TAQ2, Q03111","CORUM_Core, CORUM_All"
Complex_515,"cGMP kinase signaling complex (IP3RI, IRAG, cGKI-beta, alpha-actin, calponin H1, PLN, RhoA)","P61585, Q2HJ38, Q9TU34, P62739, Q9N1F0, P00516, A4IFH6","CORUM_Core, CORUM_All"
Complex_516,BRG1-SIN3A complex,"Q09028, Q92769, O14744, P51531, P51532, Q969G3, Q96ST3, O96019, Q92922, Q92925, O14497, Q96GM5, Q12824, Q13547, Q6STE5, Q8TAQ2","CORUM_Core, CORUM_All"
Complex_517,PU.1-associated protein complex,"Q9Z2D6, P17433, P70696, P31809, P09405","CORUM_Core, CORUM_All"
Complex_518,PU.1-Sin3A-Hdac-MeCP2 complex,"O09106, Q9Z2D6, P17433, Q60520","CORUM_Core, CORUM_All"
Complex_519,TRPV5-S100A10-annexin 2 complex,"P07356, P08207, P69744","CORUM_Core, CORUM_All"
Complex_520,S100A10-annexin 2 complex,"P07356, P08207","CORUM_Core, CORUM_All"
Complex_521,PU.1-SIN3A-HDAC complex,"Q13547, Q96ST3, P17947","CORUM_Core, CORUM_All"
Complex_522,PU.1-TBP complex,"P20226, P17947","CORUM_Core, CORUM_All"
Complex_523,MRG15-PAM14-RB complex,"Q9Y605, P06400, Q9UBU8","CORUM_Core, CORUM_All"
Complex_524,MAF2 complex,"Q9H7Z6, Q9UBU8","CORUM_Core, CORUM_All"
Complex_525,P2X7 receptor signalling complex,"Q16787, P42356, P60709, P11142, O43707, Q99572, Q13368, P23467, O95425, P08238, P0DMV8, P05107","CORUM_Core, CORUM_All"
Complex_526,DDB2 complex,"Q13619, Q92905, Q16531, P62877, Q9UNS2, P61201, Q13098, Q92466, Q9BT78, Q9UBW8, Q13216, P24928, Q99627, Q7L5N1","CORUM_Core, CORUM_All"
Complex_527,"Ubiquitin E3 ligase (FBXO31, SKP1A, CUL1, RBX1)","P62877, Q13616, Q5XUX0, P63208","CORUM_Core, CORUM_All"
Complex_528,"SNARE complex (STX4, SNAP23, VAMP1)","P23763, O00161, Q12846","CORUM_Core, CORUM_All"
Complex_529,"SNARE complex (STX4, SNAP23, VAMP2)","P63027, O00161, Q12846","CORUM_Core, CORUM_All"
Complex_530,"SNARE complex (STX4, VAMP1, VAMP7)","P51809, P23763, Q12846","CORUM_Core, CORUM_All"
Complex_531,"SNARE complex (STX4, SNAP23, VAMP2)","P63045, O00161, Q12846",CORUM_All
Complex_532,"SNARE complex (Vti1b, Stx6, Stx7)","O88384, Q9JKK1, O70439","CORUM_Core, CORUM_All"
Complex_533,"SNARE complex (Vti1b, Stx7, Stx8, Vamp8)","O88384, O70404, O88983, O70439",CORUM_All
Complex_534,Ppp2c-PKA-Ryr2-mAkap complex,"P63331, B0LPN4, Q9WVC7, P27791","CORUM_Core, CORUM_All"
Complex_535,SIN3-ING1b complex II,"Q09028, Q16576, O75446, Q92769, Q9UK53, P51532, Q96ST3, O00422, O96019, Q13547, Q92922, O14497, Q96GM5, Q12824, Q4LE39, Q8TAQ2","CORUM_Core, CORUM_All"
Complex_536,"Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)","Q0VAK7, O15234, Q9Y5S9, P61326, P38919","CORUM_Core, CORUM_All"
Complex_537,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)","O00303, Q5T653, Q9BSF4, Q9UKZ1, Q15040, O00541, Q7L2H7, O15371, Q04637, Q99613, Q14152, B5ME19, O75607, Q5JSZ5, O15372, Q13347, O75821, P55884, P60228, Q9UBQ5, Q9NX20, O75822, Q9Y262","Heusel_CSB_2019, CORUM_All, Heusel_StringDB_2019, CORUM_Core, Heusel_BioPlex_2019, Humap2, Havugimana_2012"
Complex_538,NCOR-SIN3-RPD3 complex,"O75182, Q9Y618, Q92769, Q96ST3","CORUM_Core, CORUM_All"
Complex_539,C/EBPalpha-HNF6 complex,"P49715, Q9UBC0","CORUM_Core, CORUM_All"
Complex_540,NCOR-SIN3-HDAC1 complex,"Q9UBP5, Q13547, Q9Y618, Q96ST3","CORUM_Core, CORUM_All"
Complex_541,TRAF6-TAK1 complex,"Q9Y4K3, O43318","CORUM_Core, CORUM_All"
Complex_542,MeCP2-SIN3A-HDAC complex,"Q13547, P51608, Q92769, Q96ST3","CORUM_Core, CORUM_All"
Complex_543,MeCP2-Sin3a-Hdac complex,"Q99PA1, Q00566, Q99PA2, Q60520","CORUM_Core, CORUM_All"
Complex_544,Trpc1-dystrophin-alpha1-syntrophin complex,"Q61056, Q61234, P11531","CORUM_Core, CORUM_All"
Complex_545,SMRT core complex,"O60907, O15379, Q9Y618","CORUM_Core, CORUM_All"
Complex_546,UTM-SGCE-DAG1-CAV1-NOS3 complex,"P29474, P46939, Q14118, O43556, Q03135","CORUM_Core, CORUM_All"
Complex_547,"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)","Q9BRP8, Q0VAK7, O15234, Q9Y5S9, P61326, P38919","CORUM_Core, CORUM_All"
Complex_548,Prune-Gelsolin complex,"Q86TP1, P06396","CORUM_Core, CORUM_All"
Complex_549,Prune-GSK3beta complex,"Q86TP1, P49841","CORUM_Core, CORUM_All"
Complex_550,Prune/Nm23-H1 complex,"Q86TP1, P15531","CORUM_Core, CORUM_All"
Complex_551,Fgfr1-Kal1 complex,"F8WG29, Q04589","CORUM_Core, CORUM_All"
Complex_552,"Apoptosis- and splicing-associated protein complex (ASAP-L), SAP18, RNPS1, Acinus-L","O00422, Q9UKV3, Q15287","CORUM_Core, CORUM_All"
Complex_553,Ahnak1-dysferlin complex,"D4A6X1, Q38PG1","CORUM_Core, CORUM_All"
Complex_554,Y14-Magoh complex,"Q9Y5S9, P61326","CORUM_Core, CORUM_All"
Complex_555,Dysferlin-affixin complex,"O75923, Q9HBI1","CORUM_Core, CORUM_All"
Complex_556,"SNARE complex (Stx6, Snap29)","Q63635, Q9Z2P6","CORUM_Core, CORUM_All"
Complex_557,Cask-Grip1-Prkce-Rgs4-Gria2 complex,"P97879, P09216, P49799, P19491, Q62915","CORUM_Core, CORUM_All"
Complex_558,Cask-Grip1-Gria2-Mint1 complex,"P19491, P97879, Q62915, O35430","CORUM_Core, CORUM_All"
Complex_559,NdpkA-Ampkalpha1 complex,"P54645, Q05982",CORUM_All
Complex_560,TREX complex,"Q86V81, Q13769, Q96J01, Q86W42, Q96FV9, Q8NI27, Q6I9Y2, Q13838","CORUM_Core, Humap2, CORUM_All"
Complex_561,NDPKA-AMPKalpha1 complex,"P15531, Q13131","CORUM_Core, CORUM_All"
Complex_562,EIF4A3-MLN51 complex,"O15234, P38919",CORUM_All
Complex_563,THO complex,"Q13769, Q6I9Y2, Q96J01, Q86W42, Q96FV9, Q8NI27","CORUM_Core, Humap2, CORUM_All"
Complex_564,CBC complex (cap binding complex),"P52298, Q09161","CORUM_Core, Heusel_StringDB_2019, CORUM_All"
Complex_565,Plp1-Calr-Itgav complex,"P18418, P60203, P43406","CORUM_Core, CORUM_All"
Complex_566,Exon junction complex,"Q86V81, Q9UBU9, Q15287, Q8IYB3, Q9Y5S9, Q9BZI7, Q9HAU5","CORUM_Core, CORUM_All"
Complex_567,LARC complex (LCR-associated remodeling complex),"P60709, Q92785, Q14839, O96019, Q92922, Q12824, Q09028, Q8WXI9, Q92925, Q8TAQ2, Q9UBB5, Q92769, P51532, P07910, Q969G3, Q13547, O94776, O14497, O95983","CORUM_Core, CORUM_All"
Complex_568,"K(ATP) macromolecular complex (Kir6.2, Pkm2, Gapdh, Tpi1)","P48500, P70673, P04797, P11980","CORUM_Core, CORUM_All"
Complex_569,URI complex (Unconventional prefoldin RPB5 Interactor),"Q13309, Q9UHV9, P19388, Q9Y230, Q9Y265, O94763, Q13616, P63208, Q9ULZ2","CORUM_Core, CORUM_All"
Complex_570,Itch-Usp9x complex,"Q5YB86, D3ZC84","CORUM_Core, CORUM_All"
Complex_571,ITCH-USP9X complex,"Q93008, Q96J02","CORUM_Core, CORUM_All"
Complex_572,SMG-1-UPF-ERF1-ERF3 complex (SURF),"P15170, Q92900, Q96Q15, P62495","CORUM_Core, CORUM_All"
Complex_573,Exon junction complex,"Q86V81, Q15287, Q8IYB3, Q13838, Q9BZI7, P61326, P38919, Q9Y5S9","CORUM_Core, CORUM_All"
Complex_574,MR-UBC9-SRC1 complex,"P08235, Q15788, Q08209","CORUM_Core, CORUM_All"
Complex_575,NuA4/Tip60-HAT complex B,"Q92993, Q9Y4A5, Q9Y230, Q9UBU8, Q9Y265, Q9NPF5, Q9H2F5, O96019","CORUM_Core, CORUM_All"
Complex_576,Exosome,"Q96B26, Q9NPD3, Q9NQT4, Q9NQT5, Q9Y2L1, Q92900, Q15024, Q06265, Q13868, Q5RKV6, Q99547, Q01780, Q9H074, Q9Y3B2","Heusel_BioPlex_2019, CORUM_Core, Heusel_StringDB_2019, CORUM_All"
Complex_577,DDB complex,"Q92466, Q16531","CORUM_Core, Humap2, CORUM_All"
Complex_578,"SNARE complex (VAMP2, SNAP25, STX1a, CPLX1)","P60880, Q8WVH0, O14810, Q16623, P63027","CORUM_Core, CORUM_All"
Complex_579,"SNARE complex (VAMP2, SNAP25, STX1a, CPLX2)","P60880, P63027, Q6PUV4, Q16623","CORUM_Core, CORUM_All"
Complex_580,"SNARE complex (Vamp2, Snap25, Stx1a, Cplx1)","P60879, P63044, O35526, P63040",CORUM_All
Complex_581,"SNARE complex (Stx1a, Snap25, Cplx2, Vamp2)","P60879, O35526, P63044, P84086","CORUM_Core, CORUM_All"
Complex_582,"SNARE complex (STX11, VAMP2, SNAP23)","P63027, O00161, O75558","CORUM_Core, CORUM_All"
Complex_583,DMAP1-associated complex,"Q15906, Q96L91, Q9Y4A5, Q9H0E9, Q9Y230, Q6ZRS2, Q9Y265, Q9NPF5, Q9H2F5, O96019","CORUM_Core, CORUM_All"
Complex_584,DNMT1-HDAC2-DMAP1 complex,"P70288, Q9JI44, P13864","CORUM_Core, CORUM_All"
Complex_585,"SNARE complex (STX2, SNAP23)","O00161, P32856","CORUM_Core, CORUM_All"
Complex_586,Cdc42-Par6b-Par3-Prkci complex,"Q99NH2, Q62074, P60766, Q9JK83","CORUM_Core, CORUM_All"
Complex_587,CDC42-Par6c-Par3-Prkcz complex,"F6XMN6, F1PFK4, P60952, J9P3Q8","CORUM_Core, CORUM_All"
Complex_588,"SNARE complex (STX4, SNAP23)","O00161, Q12846","CORUM_Core, CORUM_All"
Complex_589,eRF1-eRF3-GTP-Mg(2+) complex,"P15170, P62495","CORUM_Core, CORUM_All"
Complex_590,FCP1-associated protein complex,"P35269, Q9BQA1, Q9Y5B0, O14744, Q15208, P84090, P30876","CORUM_Core, CORUM_All"
Complex_591,"Upf complex (UPF1, UPF2, UPF3a)","Q9HAU5, Q9H1J1, Q92900","CORUM_Core, CORUM_All"
Complex_592,"Upf complex (UPF1, UPF2, UPF3b)","Q9BZI7, Q9HAU5, Q92900","CORUM_Core, CORUM_All"
Complex_593,Postsplicing complex,"Q92900, Q9UBU9, Q15287, Q9H1J1, Q9Y5S9, Q9BZI7, Q9HAU5","CORUM_Core, CORUM_All"
Complex_594,MRIP-MBS-RHOA complex,"Q6WCQ1, P61586, O14974","CORUM_Core, CORUM_All"
Complex_595,MRIP-RHOA complex,"Q6WCQ1, P61586",CORUM_All
Complex_596,MRIP-MBS complex,"Q6WCQ1, O14974",CORUM_All
Complex_597,20S methylosome-SmD complex,"O14744, P62318, P62314, P54105","CORUM_Core, CORUM_All"
Complex_598,"SNARE complex (STX6, SNAP23)","O43752, O00161","CORUM_Core, CORUM_All"
Complex_599,Pard3-Cdh5-Ctnna1-Ctnnb1 complex,"A0A1U7R8Q6, A0A1U7QDJ2, A0A1U7QTB8, A0A1U8CE17","CORUM_Core, CORUM_All"
Complex_600,"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)","Q9NPD3, Q92900, O95453, Q8IZH2, Q13868, Q9H0D6, Q01780, Q8IU60, Q9BZI7, Q9HAU5","CORUM_Core, CORUM_All"
Complex_601,"PAR-3-VE-cadherin complex, endothelial","Q99NH2, P55284",CORUM_All
Complex_602,Anti-SMN protein complex,"Q9UHI6, O14744, O14893, P14678, Q16637, P54105, P57678","CORUM_Core, CORUM_All"
Complex_603,JBP1-pICln complex,"O14744, P14678, P54105","CORUM_Core, CORUM_All"
Complex_604,PAR-3-VE-cadherin-beta-catenin complex,"P35222, Q8TEW0, P33151",CORUM_All
Complex_605,TROY-NGR-LINGO1 complex,"Q9BZR6, Q9NS68, Q96FE5","CORUM_Core, CORUM_All"
Complex_606,TRPC1-STIM1-ORAI1 complex,"Q96D31, P48995, Q9UQB3","CORUM_Core, CORUM_All"
Complex_607,"PAR-6-VE-cadherin complex, endothelial","Q9NPB6, P33151","CORUM_Core, CORUM_All"
Complex_608,Trpc1-Stim1-Orai1 complex,"Q5M848, Q9QX01, P84903","CORUM_Core, CORUM_All"
Complex_609,"PAR-6-PAR-3-VE-cadherin complex, endothelial","Q9NPB6, Q8TEW0, P33151","CORUM_Core, CORUM_All"
Complex_610,20S methylosome and RG-containing Sm protein complex,"P62316, O14744, P14678, P62318, P62314, P54105","CORUM_Core, CORUM_All"
Complex_611,6S methyltransferase and RG-containing Sm proteins complex,"P62304, P62316, P14678, P62308, P62306, P62318, P62314, P54105","CORUM_Core, CORUM_All"
Complex_612,20S methyltransferase core complex,"O14744, P54105","CORUM_Core, CORUM_All"
Complex_613,MEP50-PRMT5-ICLN complex,"O14744, P54105, Q9BQA1","CORUM_Core, Humap2, CORUM_All"
Complex_614,p27-Cdk2-Fgf2 complex,"P48799, Q0GMK8, A8UKE6","CORUM_Core, CORUM_All"
Complex_615,LIN9-BMYB complex,"P10244, Q5TKA1","CORUM_Core, CORUM_All"
Complex_616,Disc1-Grb2-Kif5a complex,"Q6QLM7, Q810H6, P62994","CORUM_Core, CORUM_All"
Complex_617,"SNARE complex (Stx3, Snap25, Vamp2, Cplx1)","Q08849, P63041, P60881, P63045","CORUM_Core, CORUM_All"
Complex_618,"SNARE complex (STX1A, SNAP25, VAMP2)","P84088, P32850, Q17QQ3, P63026","CORUM_Core, CORUM_All"
Complex_619,PCI-PSA-SCG2 complex,"P07288, P05154, P13521","CORUM_Core, CORUM_All"
Complex_620,"RICH1/AMOT polarity complex, Flag-Rich1 precipitated","P52907, Q68EM7, P47756, Q96B97, Q4VCS5, Q8NI35, Q9Y5K6, Q8N3R9","CORUM_Core, CORUM_All"
Complex_621,RICH1-PAR3-aPKC polarity complex,"Q8TEW0, Q68EM7, P41743","CORUM_Core, CORUM_All"
