Complex_ID,Complex_Name,Subunits_UniProt_IDs,Database
Complex_42,SMRT complex,"Q9BZK7, O60907, O15379, Q13227, Q9Y618","CORUM_Core, CORUM_All"
Complex_43,AP3 adaptor complex,"O14617, Q9Y2T2, Q92572, Q13367, P59780, P53677, O00203","CORUM_Core, Humap2, CORUM_All"
Complex_44,Interferon-stimulated gene factor 3 transcription complex ISGF3,"Q00978, P42224, P52630","CORUM_Core, CORUM_All"
Complex_45,Mi2/NuRD complex,"Q86YP4, Q09028, Q16576, Q9UBB5, Q92769, Q8WXI9, Q14839, Q13547, O94776, Q96ST3, O95983","CORUM_Core, Heusel_StringDB_2019, CORUM_All"
Complex_46,Cohesin-SA1 complex,"Q9UQE7, O60216, Q14683, Q8WVM7","Heusel_BioPlex_2019, CORUM_Core, CORUM_All"
Complex_47,Cohesin-SA2 complex,"Q9UQE7, O60216, Q14683, Q8N3U4","Heusel_CSB_2019, CORUM_All, Heusel_StringDB_2019, CORUM_Core, Heusel_BioPlex_2019"
Complex_48,Multiprotein trafficking complex,"Q62696, P52188, O35430, Q62915, Q792I0","CORUM_Core, CORUM_All"
Complex_49,TRAP complex,"O60244, Q9Y2W1, O75448, Q15648, Q93074, Q9NVC6, P10827, Q9Y2X0","CORUM_Core, CORUM_All"
Complex_50,AP4 adaptor complex,"Q9UPM8, Q9Y587, Q9Y6B7, O00189","CORUM_Core, CORUM_All"
Complex_51,BCDX2 complex,"O75771, O43543, O43502, O43542, O15315","CORUM_Core, Humap2, CORUM_All"
Complex_52,ApoB mRNA editing enzyme complex,"P38483, Q923K9, Q99PF5","CORUM_Core, CORUM_All"
Complex_53,CLIC4 complex,"P07335, P60711, P39052, P68370, P63102, Q9Z0W7, P62260","CORUM_Core, CORUM_All"
Complex_54,MRN complex (MRE11-RAD50-NBN complex),"Q9Y4A5, P38398, P49959, Q14676, O60934, Q92878, Q15554","Heusel_CSB_2019, CORUM_Core, CORUM_All"
Complex_55,R/M complex (RAD50-MRE11 complex),"P49959, Q92878","CORUM_Core, Humap2, CORUM_All"
Complex_56,HOMER3-IP3R-TRPC1 complex,"Q14573, P48995, Q9NSC5","CORUM_Core, CORUM_All"
Complex_57,TSC1-TSC2 complex,"P49815, Q92574","CORUM_Core, CORUM_All"
Complex_58,Dynein complex,"Q9JJ79, P63170, Q62871, Q63100, Q9Z336, P38650, Q9QXU8, P63036, P62628","CORUM_Core, CORUM_All"
Complex_59,nNos-Capon-Dexras1 complex,"O35626, Q9Z0J4, Q9D3A8","CORUM_Core, CORUM_All"
Complex_60,nNos-Capon-Dexras1 complex,"Q9JKF8, P29476, O54960",CORUM_All
Complex_61,nNos-Capon-Syn1 complex,"P09951, P29476, O54960","CORUM_Core, CORUM_All"
Complex_62,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","P61024, Q13309, P62877, Q13616, P63208","CORUM_Core, CORUM_All"
Complex_63,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)","P62877, Q14999, Q8N3Y1, P63208","CORUM_Core, CORUM_All"
Complex_64,"Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul2, Rbx1)","Q64259, P83941, Q498D8, P62870, A0A0G2K761",CORUM_All
Complex_65,STMN4-Tubulin complex,"P81948, E1BJK2, Q0VCK4","CORUM_Core, CORUM_All"
Complex_66,Nucleic acid channel complex,"P70581, O88989","CORUM_Core, CORUM_All"
Complex_67,STMN1-Tubulin complex,"P81948, E1BJK2, Q3T0C7","CORUM_Core, CORUM_All"
Complex_68,NUMAC complex (nucleosomal methylation activator complex),"P60709, P51532, Q969G3, Q86X55, Q96GM5, Q92922, Q96KG9, O14497, O96019, Q12824, Q8TAQ2","CORUM_Core, CORUM_All"
Complex_69,Nup 107-160 subcomplex,"Q8NFH4, P57740, Q8WUM0, Q12769, Q96EE3, Q9BW27, Q8NFH3, P52948, P55735","CORUM_Core, Humap2, CORUM_All"
Complex_70,"SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Stx5, Sec22b)","Q4KM74, Q62896, Q62931, Q08851, O35165, Q62991","CORUM_Core, CORUM_All"
Complex_71,Exocyst Sec6/8 complex,"O00471, Q8IYI6, O60645, Q9NV70, Q96KP1, Q8TAG9, Q96A65, Q9UPT5","Havugimana_2012, CORUM_Core, CORUM_All"
Complex_72,"FA complex (Fanconi anemia complex), cytoplasmic","O15287, Q9HB96, Q9NPI8, O15360, Q00597","CORUM_Core, CORUM_All"
Complex_73,CD28-transactivation complex,"P19338, P10747","CORUM_Core, CORUM_All"
Complex_74,Anaphase-promoting complex,"Q13042, Q9BS18, Q9UJX2, Q9UJX5, Q9UJX6, Q9UJX3, Q9UM13, Q9UJX4, Q9H9B1, Q9H1A4, P30260, Q8NHZ8, O60568","Heusel_CSB_2019, CORUM_All, Heusel_StringDB_2019, CORUM_Core, Heusel_BioPlex_2019, Havugimana_2012"
Complex_75,SNF2H-BAZ1A complex,"Q9NRL2, O60264","CORUM_Core, CORUM_All"
Complex_76,Ku antigen-NARG1 complex,"P12956, P13010, Q9BXJ9","CORUM_Core, CORUM_All"
Complex_77,Anaphase-promoting complex,"Q8BTZ4, Q9WVM3, Q8R349, P53995, Q8K2H6, Q3V036, Q8BZQ7, Q8BGZ4, Q91W96","CORUM_Core, CORUM_All"
Complex_78,p300-MDM2-p53 protein complex,"Q00987, Q09472, P04637","CORUM_Core, CORUM_All"
Complex_79,hNURF complex,"Q09028, Q16576, P28370, Q12830","CORUM_Core, CORUM_All"
Complex_80,Nucleolar remodeling complex (NoRC complex),"Q91ZW3, Q91YE5","CORUM_Core, CORUM_All"
Complex_81,Meiotic cohesin complex,"Q920F6, Q9CW03, Q8C5S7, P70281","CORUM_Core, CORUM_All"
Complex_82,RNA polymerase II holoenzyme complex,"P29083, P53803, Q13503, Q13888, P19447, Q92759, P29084, P62875, P32780, P18074, Q00403, P52434, P62487, P19387, P61218, P35269, P20226, P36954, P52435, P38398, Q13889, P19388, O15514, P24928, P30876, P13984","CORUM_Core, CORUM_All"
