Protein A,Protein B
Q9H2R5,P86790
Q9H2R5,Q96AE7
Q9H2R5,Q86Y56
Q9H2R5,P30532
Q9H2R5,Q6AZY7
Q9H2R5,Q96AQ6
Q9H2R5,P08582
Q9H2R5,Q13433
Q9H2R5,Q9Y5Y6
Q9H2R5,Q92544
Q9H2R5,P54802
Q9H2R5,P08236
Q9H2R5,Q9UIW2
Q9H2R5,Q969N2
Q9H2R5,Q8WU67
Q9H2R5,Q93063
Q9H2R5,Q06481
Q9H2R5,Q15165
Q9H2R5,O94955
Q9H2R5,Q86XL3
Q9H2R5,Q495W5
Q9H2R5,Q92643
Q9H2R5,O15360
Q9H2R5,O95158
Q9H2R5,P14222
Q9H2R5,Q68E01
Q9H2R5,Q8IW92
Q9H2R5,Q14318
Q9H2R5,O14727
Q9H2R5,P78348
Q9H2R5,Q8N122
Q9H2R5,Q6PKC3
Q9H2R5,Q96MM7
Q9H2R5,Q8N2E2
Q9H2R5,Q92545
Q9H2R5,Q6UW63
Q9H2R5,O95396
Q9H2R5,P17050
Q9H2R5,Q9H5K3
Q9H2R5,Q96RG2
Q9H2R5,Q9UKJ8
Q9H2R5,Q02487
Q9H2R5,Q9Y3A6
Q9H2R5,Q9NUQ8
Q9H2R5,Q96F46
Q9H2R5,Q16651
Q9H2R5,Q9H013
Q9H2R5,Q16880
Q9H2R5,Q8N2K0
Q9H2R5,Q5T4B2
Q9H2R5,P00374
Q9H2R5,Q9BV94
Q9H2R5,Q8NBU5
Q9H2R5,Q9NRB3
Q9H2R5,P46734
Q9H2R5,Q9Y6N1
Q9H2R5,O15533
Q9H2R5,Q8IWF2
Q9H2R5,Q15555
Q9H2R5,Q9H2V7
Q9H2R5,P49641
Q9H2R5,Q9HCU4
Q9H2R5,Q8IVT2
Q9H2R5,Q9H3T3
Q9H2R5,O94901
Q9H2R5,Q8NE86
Q9H2R5,Q8NBK3
Q9H2R5,Q02083
Q9H2R5,Q96S16
Q9H2R5,O94874
Q9H2R5,Q96D53
Q9H2R5,Q96H55
Q9H2R5,Q9BQT9
Q9H2R5,Q9H6X2
Q9H2R5,Q9NZV5
Q9H2R5,Q6PJG6
Q9H2R5,Q68CQ7
Q9H2R5,Q9Y5L3
Q9H2R5,Q9NWW5
Q9H2R5,P34820
Q9H2R5,Q8NCW0
Q9H2R5,Q9Y219
Q9H2R5,Q4G0M1
Q9H2R5,Q9Y2E5
Q9H2R5,P49593
Q9H2R5,Q9BRR6
Q9H2R5,Q24JP5
Q9H2R5,Q9Y653
Q9H2R5,O60493
Q9H2R5,P07996
Q9H2R5,Q99640
Q9H2R5,Q08117
Q9H2R5,Q99943
Q9H2R5,Q8NBZ7
