Protein A,Protein B
Q92759,Q8TCD5
Q92759,O75896
Q8IY31,P07099
Q96LB3,Q8TDQ7
Q96LB3,Q8WYA0
Q96LB3,Q7Z2W4
Q96LB3,Q86X76
P42701,P68366
P42701,Q71U36
P42701,Q9BQE3
P42701,P04350
P42701,P07437
P42701,P68371
P42701,Q13509
P42701,Q13885
P42701,Q3ZCM7
P42701,Q9BUF5
P42701,Q9H4B7
P42701,P11021
P42701,P27708
P42701,Q13217
P42701,Q8IZ69
P42701,P49411
P42701,Q9UEW8
P42701,Q6JQN1
P42701,Q14697
P42701,P10321
P42701,Q6S8J3
P42701,Q8TB37
P42701,P55268
P42701,Q9BXW7
P42701,Q9UK22
P42701,P61916
P42701,Q9Y4K0
P42701,Q6P1N9
P42701,P18084
P42701,Q9UQ49
P42701,Q8N2E2
P42701,P12236
P42701,P35869
P42701,Q9Y2G8
P42701,Q15054
P42701,Q9BRT8
P42701,Q8IUF1
P42701,Q9UMR2
P42701,Q9H6T0
P42701,Q13438
P42701,Q14CZ7
P42701,O15231
P42701,Q9UKM7
P42701,Q6UXH1
P42701,P60891
P42701,P01033
P42701,Q9NUJ3
P42701,Q13214
P42701,Q8NBP7
P42701,Q15072
P42701,Q99805
P42701,O95396
P42701,Q9Y5Y2
P42701,O94985
P42701,P22830
P42701,P23919
P42701,Q9P2E5
P42701,O75879
P42701,Q9H2V7
P42701,Q6UVK1
P42701,Q8IYL2
P42701,Q9NS15
P42701,Q9Y219
P42701,Q8IVT2
P42701,Q99519
P42701,P50336
A1L0T0,O76071
A1L0T0,Q9Y3D0
A1L0T0,Q0IIM8
A1L0T0,Q66K14
A1L0T0,Q6P3X3
A1L0T0,Q9BVC4
A1L0T0,Q9NU22
A1L0T0,Q9HCG7
A1L0T0,Q86XI2
A1L0T0,Q5SWX8
A1L0T0,Q9HAV4
A1L0T0,P42356
A1L0T0,Q96T76
A1L0T0,Q96ER3
A1L0T0,P57678
A1L0T0,Q96CB8
A1L0T0,Q5H8A4
A1L0T0,Q9Y2V7
A1L0T0,Q92621
A1L0T0,O43592
A1L0T0,Q9C0E2
A1L0T0,Q9H9E3
A1L0T0,Q15800
A1L0T0,P42345
A1L0T0,P13637
A1L0T0,Q6YHU6
A1L0T0,O94955
A1L0T0,Q9H3K2
A1L0T0,A6NM15
A1L0T0,Q14146
A1L0T0,Q9H583
A1L0T0,O00400
A1L0T0,Q9NUQ7
A1L0T0,Q9BXW9
A1L0T0,Q9H0H0
A1L0T0,Q8N201
A1L0T0,Q92696
A1L0T0,P48029
A1L0T0,Q92536
A1L0T0,Q96CN4
A1L0T0,Q96F07
A1L0T0,Q13144
A1L0T0,Q5VZL5
A1L0T0,Q9Y5L0
A1L0T0,O43264
A1L0T0,Q96ED9
A1L0T0,Q96JB2
A1L0T0,Q9BZF3
A1L0T0,Q9UP83
A1L0T0,Q5MNZ6
A1L0T0,Q96QU8
O14965,Q8TEP8
O14965,Q5H9R7
Q13349,P07437
Q13349,Q3ZCM7
Q13349,P11021
Q13349,P14625
Q13349,P30450
Q13349,Q6MZM0
Q13349,Q71U36
Q13349,Q9BQE3
Q13349,Q5VU13
Q13349,P33764
Q13349,Q14696
Q13349,P12236
Q13349,P51178
Q13349,Q12907
Q13349,Q15054
Q13349,Q6PKC3
Q13349,Q5JTY5
Q13349,Q9HC21
Q13349,Q8TF66
Q13349,P05067
Q13349,Q9UI12
Q13349,O95147
Q13349,Q16795
Q13349,Q92538
Q13349,Q9H0V9
Q13349,Q9NV96
Q13349,Q8N122
Q13349,Q8WYP5
Q13349,Q86SJ6
Q13349,Q5JW98
Q13349,P02042
Q13349,Q9BV94
Q13349,Q9UJC3
Q13349,Q16585
Q13349,P15151
Q13349,Q9Y4P3
Q13349,Q9Y219
Q13349,P56556
Q8WWA0,P04350
Q8WWA0,P07437
Q8WWA0,Q13509
Q8WWA0,Q3ZCM7
Q8WWA0,Q9Y265
Q8WWA0,P10809
Q8WWA0,P08240
Q8WWA0,P11021
Q8WWA0,P50416
Q8WWA0,Q96RE7
Q8WWA0,Q14527
Q8WWA0,P33121
Q8WWA0,Q14249
Q8WWA0,P17987
Q8WWA0,P05362
Q8WWA0,Q8WWU7
Q8WWA0,O95470
Q8WWA0,P68366
Q8WWA0,Q71U36
Q8WWA0,Q9BQE3
Q8WWA0,P12235
Q8WWA0,P12236
Q8WWA0,Q15054
Q8WWA0,Q9UG56
Q8WWA0,P78371
Q8WWA0,O14967
Q8WWA0,Q00325
Q8WWA0,O75663
Q8WWA0,Q15345
Q8WWA0,Q96HI0
Q8WWA0,P60891
Q8WWA0,Q8WUH6
Q8WWA0,Q5RI15
Q8WWA0,Q9UMR2
Q8WWA0,Q8TBP6
Q8WWA0,Q9NPL8
Q8WWA0,Q58WW2
Q8WWA0,Q5VV42
Q8WWA0,P50548
Q8WWA0,P41162
Q8WWA0,Q14683
Q8WWA0,Q9H6X2
Q8WWA0,O14966
Q8WWA0,Q96NB2
Q8WWA0,Q4G0M1
Q8WWA0,Q96SQ9
Q8WWA0,Q7Z333
Q8WWA0,Q96H55
Q8WWA0,Q9UPY5
Q8WWA0,Q6IAN0
Q8WVZ9,Q9NX00
Q8WVZ9,Q15334
Q8WVZ9,Q13618
Q8WVZ9,Q92552
Q8WVZ9,F5H5M9
Q8WVZ9,P41743
Q8WVZ9,Q9BYG4
Q8WVZ9,Q9BYG5
Q8WVZ9,Q86V97
Q8WVZ9,P27635
Q8WVZ9,Q9UF56
Q8WVZ9,Q05513
Q8WVZ9,P82663
Q8WVZ9,Q6NZI2
Q8WVZ9,Q96CB9
Q8WVZ9,Q6TFL4
Q8WVZ9,A1KZ92
Q9BQ90,P61201
Q9BQ90,Q9BPU6
Q9BQ90,Q92797
Q9BQ90,Q13617
Q9BQ90,Q9UNS2
Q9BQ90,O75153
Q9BQ90,Q7L5N1
Q9BQ90,Q92905
Q9BQ90,Q7Z569
Q9BQ90,P85037
Q9BQ90,Q15843
Q9BQ90,Q8IVD9
Q9BQ90,Q99627
Q9BQ90,Q9UN86
Q9BQ90,Q9NZB8
Q9BQ90,Q14694
Q9BQ90,P38432
Q9BQ90,Q9BST9
Q9BQ90,Q9BTC0
Q9BQ90,Q8N5L8
P52292,Q14974
P52292,Q9UKX7
P52292,Q86X55
P52292,P49790
P52292,P49792
P52292,O14715
P52292,O14975
P52292,Q69YH5
P52292,Q9NX58
P52292,O14524
Q13503,Q71SY5
Q13503,Q9UHV7
Q13503,Q15648
Q13503,Q6P2C8
Q13503,Q9Y3C7
Q13503,O95402
Q13503,Q71F56
Q13503,Q9Y2X0
Q13503,O60244
Q13503,Q93074
Q13503,Q86YW9
Q13503,Q9ULK4
Q13503,Q96RN5
Q13503,Q9NWA0
Q13503,O75586
Q13503,Q9NPJ6
Q13503,Q9H204
Q13503,Q9NVC6
Q13503,A0JLT2
Q13503,E5RFK5
Q13503,Q9NX70
Q13503,Q15528
Q13503,O75448
Q13503,O43513
Q13503,Q9BTT4
Q13503,Q9H944
Q13503,Q9BUE0
Q13503,P49336
Q13503,Q96HR3
Q13503,Q96G25
Q13503,Q9P086
Q13503,Q6PCT2
Q96HT8,P49590
Q96HT8,Q13123
Q96HT8,Q86XK2
Q96HT8,Q9Y605
Q96HT8,Q15014
Q96HT8,Q8IWS0
Q96HT8,Q969G5
Q9Y676,P82933
Q9Y676,Q9BYN8
Q9Y676,Q96EY7
Q9Y676,O14556
Q9Y676,Q9Y3D9
Q9Y676,Q92552
Q9Y676,P82932
Q9Y676,Q9Y2Q9
Q9Y676,P82664
Q9Y676,P82930
Q9Y676,P51398
Q9Y676,P35558
Q9Y676,Q92665
Q9Y676,P82675
Q9Y676,Q9Y2R9
Q9Y676,O75616
Q9Y676,P82650
Q9Y676,P82914
Q9Y676,P82673
Q9Y676,Q8NC60
Q9Y676,P27635
Q9Y676,P82663
Q9Y676,Q9Y399
Q9Y676,Q9Y291
Q9Y676,P82912
Q9Y676,Q96EL2
Q9Y676,Q6IQ21
Q9Y676,O60783
Q9Y676,Q9Y3D3
Q9Y676,Q7RTS1
Q9Y676,Q9NTG7
Q9Y676,P42766
Q9Y676,Q16629
Q9Y676,Q9Y3D5
Q9Y676,P82921
O43795,Q9NR56
O43795,P28289
O43795,O75844
O43795,P55145
O43795,Q8TB52
O43795,Q99757
O43795,Q06945
O43795,P49756
O43795,Q14353
Q8TDX7,Q32P44
Q8TDX7,Q6ZW76
Q8TDX7,Q9NZN4
Q8TDX7,Q8TD19
Q13952,Q14249
Q13952,P23511
Q13952,P25208
Q7RTS1,Q9P2N5
Q7RTS1,Q5T8P6
Q7RTS1,P16989
Q7RTS1,P67809
Q7RTS1,Q96JP5
Q7RTS1,Q9NQ29
Q7RTS1,Q07021
Q7RTS1,P48553
Q7RTS1,Q14966
Q7RTS1,Q6P158
Q7RTS1,Q86U06
Q7RTS1,Q14498
Q7RTS1,Q9UNF1
Q7RTS1,Q9Y3C1
Q7RTS1,Q9BX40
Q7RTS1,Q99933
Q7RTS1,Q8WUQ7
Q7RTS1,Q14739
Q7RTS1,Q96Q05
Q7RTS1,Q9HC36
Q7RTS1,Q9Y3Y2
Q7RTS1,Q9Y2S7
Q7RTS1,Q8WVZ9
Q7RTS1,Q86V97
Q7RTS1,O60930
Q7RTS1,Q9UNN5
Q7RTS1,Q8WUB8
Q7RTS1,Q9Y6H1
Q7RTS1,Q96AB3
Q7RTS1,Q8IYB8
Q7RTS1,Q9H4P4
Q7RTS1,Q9BQ52
Q7RTS1,Q9HCF6
P49757,Q6PJ21
P49757,Q9Y6R0
P49757,P43005
P58417,Q9UBV2
P58417,O43502
P58417,Q9P2R7
P58417,P11717
P58417,Q9H6S0
P58417,Q8IXI1
P58417,Q13438
P58417,Q08174
P58417,Q14558
P58417,Q96CG8
P58417,P21108
P58417,Q5VW38
P58417,Q6UVK1
P58417,P48645
P58417,Q86U70
P58417,P01920
P58417,Q02447
Q16625,Q9HCU5
Q16625,Q9H3N1
Q16625,Q7Z7L7
Q16625,Q9Y5M8
Q16625,Q5JRA6
P47900,Q96G23
P47900,Q8NBN3
P47900,Q9NQ84
P47900,O75947
P47900,P06576
P47900,Q9GZP9
P47900,P04920
P47900,P29992
P47900,P25705
P47900,O14681
P47900,O75436
P47900,P36542
P47900,Q13530
P47900,P24539
P47900,P48047
P47900,Q9HD45
P47900,Q15392
P47900,Q5BJH7
P47900,P48960
P47900,Q8IY22
P47900,Q86V85
P47900,Q15800
P47900,Q9NX61
P47900,Q6ZMG9
P47900,Q9BVG9
P47900,Q86VR2
P47900,Q9H1C4
P47900,Q9GZM5
P47900,O15127
P47900,Q8N0U8
P47900,Q9NTJ5
Q9BYG5,Q15334
Q9BYG5,Q05513
Q9BYG5,P41743
Q9BYG5,Q9BYG4
Q9BRP1,P29353
Q9BRP1,Q96BR5
Q9BRP1,P15880
Q9BRP1,O60271
Q9BRP1,Q8TDX7
Q9BRP1,O60678
Q9BRP1,Q53GT1
Q9BRP1,Q96L92
P40855,Q8NHP6
P40855,Q08379
P40855,Q13303
P40855,Q8TBP5
P40855,Q9NVH1
P40855,Q96TC7
P40855,Q86VU5
P40855,O94923
P40855,Q9Y2C4
P40855,Q8IXI2
P40855,P56589
P40855,O95202
P40855,Q9NZV5
P40855,Q9UNY4
P40855,P08574
P40855,Q6PCB7
P40855,Q6P1M0
P40855,Q10471
P40855,Q96TA2
P40855,Q969V5
P40855,Q10469
P40855,Q9NVH0
P40855,P55085
P40855,Q8IZT6
P40855,O94832
P40855,Q9NQX4
P40855,Q9Y4I1
P40855,O15554
P40855,O60551
P40855,P21709
P40855,Q969Z3
P40855,P07919
P40855,Q8NBQ5
P40855,P28328
P40855,Q96K12
P40855,Q9BYC9
P40855,Q8NBZ7
P40855,Q8WVC6
P40855,Q8N2K0
P40855,Q8WUY8
P40855,Q7LGA3
P40855,O43819
Q8TBX8,Q14978
Q8TBX8,P78356
Q8TBX8,P48426
Q8TBX8,Q93008
Q8TBX8,Q7RTN6
Q8TBX8,Q96GG9
Q8TBX8,Q15287
Q8TBX8,Q9Y376
Q8TBX8,O75052
Q8TBX8,Q9HCM4
Q8TBX8,O00203
Q8TBX8,Q8N3E9
Q8TBX8,Q9BVS4
Q9NW61,Q01968
Q9NW61,Q8N4B1
Q13356,Q5QP82
P31321,Q9UKA4
P31321,Q13733
P31321,Q8TBZ8
P31321,O43361
P31321,P17612
P31321,P22612
P31321,P22694
P31321,Q9NXS3
P31321,P13804
P31321,Q13627
P31321,P10644
P31321,P07437
P31321,Q3ZCM7
P31321,Q9P0L0
P31321,O75123
P31321,Q8N6U8
P31321,P13535
P31321,P12883
Q9BXR0,P11142
Q9BXR0,P05067
Q9BXR0,P25445
Q9BXR0,Q92870
Q9BXR0,P37235
Q9BXR0,O60488
Q9BXR0,Q5VW38
Q9BXR0,Q16651
Q9BXF6,Q99747
Q9BXF6,P30153
Q9BXF6,Q9C0D3
Q9BXF6,O95260
Q9BXF6,Q66LE6
Q9BXF6,Q96M94
Q9BXF6,Q9BTD8
Q16576,Q09028
Q16576,Q9NP50
Q16576,Q4LE39
Q16576,P29374
Q16576,Q96ST3
Q16576,O75182
Q16576,Q8WXI9
Q16576,Q86YP4
Q16576,Q9H0E3
Q16576,Q96QT6
Q16576,Q9UBB5
Q16576,O95983
Q16576,Q12873
Q16576,Q14839
Q16576,Q5TG85
Q16576,O15417
Q16576,O94776
Q16576,Q13330
Q16576,Q9BTC8
Q16576,Q15022
Q16576,Q92800
Q16576,P29375
Q16576,Q5PSV4
Q16576,Q8WUU5
Q16576,Q9HAJ7
Q16576,O75446
Q16576,O14929
Q16576,Q8N655
Q16576,Q12830
Q16576,Q96N64
Q16576,Q7Z589
Q16576,O75530
Q16576,Q15910
Q16576,O14519
Q16576,Q9H7L9
Q16576,Q92769
Q16576,Q9Y483
Q16576,A6NHQ4
Q16576,Q9HCU9
Q16576,Q6ZN18
Q16576,Q9Y294
Q16576,Q9NVP2
Q16576,Q9UK53
Q16576,Q9H160
Q16576,Q6NUJ5
Q16576,Q5T6S3
Q16576,O43189
Q16576,Q9P281
Q00765,Q9Y3E0
Q00765,O15439
Q00765,Q9NX00
Q00765,Q96HR9
Q00765,Q9GZP9
Q00765,Q86SF2
Q00765,O95140
Q00765,A0FGR8
Q00765,O15126
Q00765,Q969E2
Q00765,Q9UI14
Q00765,Q9NZC3
Q00765,P00387
Q00765,Q8NHH9
Q00765,P13591
Q00765,Q96MH6
Q00765,Q01628
Q00765,Q9H6H4
Q00765,Q06136
Q00765,Q5SWX8
Q00765,Q10471
Q00765,Q9NUQ7
Q00765,O60906
Q00765,P54709
Q00765,O15162
Q00765,Q9NRZ5
Q00765,Q15392
Q00765,Q9BSJ8
Q00765,Q15038
Q00765,O60831
Q00765,Q9BTV4
Q00765,Q96KR6
Q00765,O75915
Q00765,Q10472
Q00765,Q8NEN9
Q00765,Q9NX61
Q00765,Q9BTX3
Q00765,Q969M3
Q00765,Q10469
Q00765,Q9NPR9
Q00765,O43731
Q00765,Q86VR2
Q00765,O15127
Q00765,Q9BRR6
Q00765,Q9NQC3
Q00765,Q96D05
Q00765,Q5M7Z0
Q00765,Q9H902
Q16204,Q8TF05
Q16204,P60510
Q16204,Q6P3S6
Q16204,Q6IN85
Q16204,P25054
Q16204,P30153
Q16204,O60299
Q9BWE0,O95373
Q9BWE0,P05388
Q9BWE0,Q9NXV2
Q9BWE0,Q01105
Q9BWE0,Q9UKM9
Q9BWE0,O15397
Q9BWE0,Q15154
Q9BWE0,Q499Z4
P57078,Q9BVQ7
P57078,P55072
P57078,Q9Y297
P57078,Q9UKB1
P57078,P49459
P57078,Q9C0B1
Q8TA86,P19784
Q8TA86,P68400
Q8TA86,Q6NYC1
Q8TA86,P67870
Q8TA86,Q9HCM4
Q8TA86,P02792
Q96T51,Q7L099
Q96T51,Q8WXA3
Q96T51,P43250
P82979,O95865
O43290,O43395
O43290,Q9BUQ8
O43290,O75554
O43290,Q96DI7
O43290,P62304
O43290,Q9BTD8
O43290,P62312
O43290,O95400
O43290,P14678
O43290,P62310
O43290,A8MWD9
O43290,P62306
Q14160,Q9BTT6
Q14160,Q9UGJ0
Q14160,P54619
Q14160,P17097
Q14160,Q14161
Q14160,Q9Y2X7
Q14160,Q6UWE0
Q14160,Q9Y2Z0
Q14160,Q9BT09
Q14160,Q13177
Q14160,Q13153
Q14160,Q7Z5L9
Q14160,O75052
Q14160,P78356
Q14160,P48426
Q14160,Q15052
Q14160,Q6Q0C0
Q14160,Q9NWS9
Q14160,P49761
Q14160,Q9BYW2
Q14160,A1L170
Q14160,Q8WWI1
Q14160,Q8TBX8
Q14160,Q9H3G5
Q14160,Q13131
Q14160,Q9P2N7
Q14160,Q9P2J3
Q14160,Q0VG06
Q14160,Q9H1B7
Q14160,Q8IU81
Q14160,A6NFI3
Q14160,Q8TBC3
Q14160,P23508
P34741,O75367
P34741,P40939
P34741,Q9GZR7
P34741,Q93084
P34741,O43929
P34741,Q9H7D0
P34741,Q14185
P34741,P09038
P34741,Q8IY95
P34741,P55084
P34741,P10074
P34741,Q8TAA9
P34741,P31431
P34741,Q8IWB9
P34741,Q8IXQ5
P34741,P0C0S8
P34741,Q8IUE6
P34741,Q8IY17
P34741,Q9Y692
P34741,Q9NQV6
P34741,Q8N441
P34741,P18827
P34741,Q9NX58
P34741,Q96NA8
P34741,Q7Z4Q2
P34741,Q96B77
P34741,A8MWY0
P34741,Q9UKD1
P34741,Q99985
P34741,Q01433
P34741,Q2TB90
P34741,Q86UE4
P34741,Q96KP1
P34741,E7ETE0
P34741,Q13268
P34741,Q9Y2U8
P34741,O15554
P34741,Q8N3E9
P34741,Q68DE3
P34741,Q5TEC6
P34741,P21579
P34741,P12931
P34741,Q96BJ8
P34741,O75146
P34741,Q9H0U9
P34741,Q9UHL9
Q9P2F8,Q13432
Q9P2F8,A6NIH7
Q9P2F8,Q9NR12
Q9P2F8,Q5VTR2
Q9P2F8,Q9Y250
Q9P2F8,Q9BRK4
Q9P2F8,O43166
Q9P2F8,Q8NAT1
Q9P2F8,Q8IWV7
Q9P2F8,P86790
Q9P2F8,O15049
Q9P2F8,Q9NS69
Q9P2F8,Q9Y5X3
Q9P2F8,Q96FS4
Q9P2F8,O60292
Q13042,Q9UJX2
Q13042,Q9UJX5
Q13042,Q9H1A4
Q13042,Q8NHZ8
P08621,P09234
P08621,Q4G0J3
P08621,Q8TEQ6
P08621,Q9Y3F4
P08621,Q9UHI6
P08621,Q9Y3X0
P08621,Q96SB4
P08621,P78362
P08621,A8MWD9
P08621,Q9H814
P08621,P57678
P08621,Q8IYT2
P08621,Q09161
P08621,Q9NWZ8
P08621,P09012
P08621,P08579
P08621,Q8WXD5
P08621,Q7L2J0
P08621,Q9P2G9
P08621,Q6PKG0
P08621,Q15287
P08621,P62316
P08621,O60832
P08621,Q8IUX4
P08621,P62304
P08621,Q96KR1
P08621,P62318
P08621,Q16637
P08621,P62314
P08621,P14678
P08621,O14893
P08621,Q13595
P08621,Q96GM8
P08621,Q9H840
P08621,P62306
Q9BVQ7,Q15393
Q9BVQ7,Q99707
Q9BVQ7,O94761
Q9BVQ7,P11142
Q9BVQ7,Q8NB90
Q9BVQ7,Q7L7V1
Q9BVQ7,Q9BUR4
Q9BVQ7,P25445
Q9BVQ7,Q9BW66
Q9BVQ7,Q12788
Q9BVQ7,Q9C0B7
Q9BVQ7,Q9BU02
Q9BVQ7,P11908
Q9BVQ7,Q15751
Q9BVQ7,P86790
Q9BVQ7,P50851
Q9BVQ7,Q9HBG6
Q9BVQ7,Q9P2S5
Q9BVQ7,P26373
Q9BVQ7,Q9NX04
Q9BVQ7,Q9NNW5
Q9BVQ7,Q9ULE6
Q9BVQ7,A6NED2
Q9BVQ7,Q9H992
Q9UHA2,Q8NFD5
Q9UHA2,Q8TAQ2
Q9UHA2,Q9H869
Q9UHA2,Q3T8J9
Q9UHA2,P51532
Q9UHA2,P51531
Q9UHA2,Q6STE5
Q9UHA2,Q92925
Q9UHA2,Q96GM5
Q9UHA2,Q92785
Q9UHA2,Q9BQE9
Q9UHA2,Q9BX46
O15400,O15498
O15400,Q12981
O15400,O43752
O15400,P17029
O15400,Q9H115
O15400,P54920
O15400,Q9P2W9
O15400,Q8WVM8
O15400,P49590
O15400,Q13190
O15400,O15431
O15400,P67775
O15400,O60499
O15400,O00161
O15400,Q5SQN1
O15400,Q86Y82
O15400,Q96AJ9
O15400,Q9NY35
O15400,Q5T5C0
O15400,O75379
O15400,O95721
O15400,O75396
O15400,Q15836
O15400,P63027
O15400,P51809
O15400,O95249
O15400,Q9BV40
O15400,Q9UEU0
Q8TC07,Q8NBM4
Q8TC07,Q9H061
Q8TC07,Q14807
Q8TC07,Q6PML9
Q8TC07,Q9HD23
Q8TC07,P62249
Q8TC07,Q9HA65
Q8TC07,O00124
Q8TC07,Q99941
Q8TC07,P50570
Q8TC07,Q05193
Q8TC07,Q9UQ16
Q8TC07,Q8TED0
Q8TC07,Q6IC98
Q8TC07,Q86Y82
Q8TC07,P49069
Q8TC07,Q8WUY1
Q8TC07,O43291
Q15562,Q58FG1
Q15562,A4FUP2
Q15562,Q9GZV5
Q15562,P46937
Q15562,Q9HC78
Q9NXG2,Q9Y3C1
Q9NXG2,Q9UNX3
Q9NXG2,Q9Y606
Q9NXG2,Q96PZ0
Q9NXG2,Q9H974
Q9NXG2,P16104
Q9NXG2,Q9BXR0
Q96RT8,Q9BSJ2
Q96RT8,Q9UGJ1
Q96RT8,P23258
Q96RT8,Q96RT7
Q96RT8,Q6P582
Q96RT8,Q6NZ67
Q96RT8,Q96CW5
Q96RT8,Q16204
Q96RT8,Q9Y5B8
Q96RT8,Q9BWE0
Q14008,Q9BZ71
Q14008,Q9P270
Q14008,Q8NC51
O00295,P10809
O00295,P36776
O00295,O95865
Q8IY57,E7ENI0
Q8IY57,Q15828
Q8IY57,P61244
Q8IY57,A8K2U0
Q8IY57,Q14186
Q8IY57,Q86SE9
Q8IY57,E9PBV3
Q8IY57,P19784
Q8IY57,P68400
Q8IY57,P61962
Q8IY57,P67870
Q8IY57,Q99496
Q8IY57,Q06587
Q8IY57,Q9HAH7
Q8IY57,Q969R5
Q8IY57,Q9BSM1
Q8IY57,Q00987
Q8IY57,Q9BYE7
Q8IY57,P23490
Q8IY57,Q3KNV8
Q8IY57,Q6ZVX7
Q8IY57,P35227
Q8IY57,P35226
Q8IY57,Q16610
Q8IY57,O75461
Q8IY57,O14526
Q86WB0,P49862
Q86WB0,P58107
Q86WB0,Q92817
Q86WB0,F5GWP8
Q86WB0,Q14574
Q86WB0,Q08554
Q86WB0,P36952
Q86WB0,Q02413
Q86WB0,Q14134
Q86WB0,P07476
Q86WB0,Q9NZT1
Q86WB0,P53350
Q86WB0,P22735
Q86WB0,P15924
Q86WB0,O15020
Q86WB0,E9PBV3
Q86WB0,P01857
Q86WB0,Q53RT3
Q86WB0,P31944
Q86WB0,Q9BQ50
Q86WB0,P47929
Q86WB0,Q13835
Q86WB0,P05089
Q86WB0,O60437
Q86WB0,Q08188
Q86WB0,P27482
Q86WB0,Q8WVV4
Q86WB0,O75635
Q86WB0,O00204
Q86WB0,Q96QA5
Q86WB0,P20930
Q86WB0,Q8IVF2
Q86WB0,Q8N3Y7
Q86WB0,P16152
Q86WB0,Q8NEX9
Q86WB0,Q15517
Q86WB0,Q9UBH0
Q86WB0,P05120
Q86WB0,O00255
Q86WB0,P02511
Q86WB0,P30838
Q86WB0,Q9UJ70
Q86WB0,Q8IW75
Q86WB0,Q9NZH8
Q86WB0,P50452
Q86WB0,O43548
Q86WB0,Q9NVJ2
Q86WB0,Q9Y446
Q86WB0,O14732
Q86WB0,Q6ZVX7
Q86WB0,Q9UIV8
Q86WB0,O95867
Q86WB0,P21128
Q86WB0,Q9H2C0
Q86WB0,Q9BW30
Q86WB0,Q5TEC6
Q86WB0,O75342
Q86WB0,Q99719
Q86WB0,P22528
Q86WB0,Q96NR8
Q86WB0,Q9BW60
Q86WB0,Q8TE68
Q86WB0,Q9BYJ1
Q86WB0,Q7L5L3
Q86WB0,Q15126
Q86WB0,Q3ZCW2
Q14592,P07205
Q14592,Q9HB40
Q14592,O96008
Q14592,Q9HA92
Q14592,Q96IZ0
Q14592,Q6DD87
Q8TF39,Q9BRR0
Q8TF39,P17029
Q8TF39,P17028
Q8TF39,Q9UNY5
Q8TF39,Q96C84
Q8TF39,O14709
Q8TF39,P57086
Q8TF39,Q96IT1
Q8TF39,P59923
O75128,Q9UNF0
O75128,P60709
O75128,Q9UKS6
O75128,Q9BY11
O75128,Q96HN2
Q92828,Q9UQ03
Q92828,Q9NYF8
Q92828,Q9Y2W1
Q92828,Q8IUR7
Q92828,Q7L5Y9
Q92828,Q6VN20
Q92828,Q9H7D7
Q92828,P62699
Q92828,Q9H871
P49674,Q7Z7G8
P49674,Q6ZRV2
P49674,O15534
P49674,O15055
P49674,Q49AN0
P49674,Q16526
P49674,Q14C86
P49674,Q9Y343
P49674,Q1W6H9
Q96CW1,Q9NVZ3
Q96CW1,Q49AN0
Q96CW1,Q16626
Q96CW1,P53680
Q96CW1,Q15311
Q96CW1,Q9NSY1
Q96CW1,P42566
Q96CW1,Q2M2I8
Q96CW1,B4DTM2
Q96CW1,Q9NZM3
Q96CW1,Q96D71
Q96CW1,Q9UBC2
Q96CW1,O95782
Q96CW1,O94973
Q96CW1,Q10567
Q96CW1,P63010
Q96CW1,Q9P1Z2
Q96CW1,O15534
Q96CW1,P50542
Q86VU5,O00743
Q86VU5,Q9Y3D0
Q86VU5,Q7RTS9
Q86VU5,Q9UPT5
Q86VU5,Q16625
Q86VU5,Q8NDZ4
Q86VU5,O75146
Q86VU5,O43264
Q86VU5,Q3LXA3
Q86VU5,O14893
Q86VU5,Q9NSG2
Q86VU5,Q6PML9
Q86VU5,O15120
Q86VU5,O60443
Q86VU5,O94874
Q86VU5,P00395
Q86VU5,Q96MW5
Q86VU5,Q6PJG6
Q86VU5,Q9UK41
Q86VU5,P42345
Q86VU5,Q9NX76
Q86VU5,Q8IYS2
Q86VU5,Q9H814
Q86VU5,Q14974
Q86VU5,O76071
Q86VU5,P41252
Q86VU5,O95759
Q86VU5,Q8N1S5
Q86VU5,Q86VP6
Q86VU5,Q13144
Q86VU5,O43432
Q86VU5,Q92616
Q86VU5,P47897
Q86VU5,P07814
Q86VU5,O43592
Q86VU5,Q9UHI6
Q86VU5,P54136
Q86VU5,P56192
Q86VU5,Q86XI2
Q86VU5,Q14232
Q86VU5,Q7Z333
Q86VU5,Q92621
Q86VU5,Q8TC07
Q86VU5,Q9H9E3
Q86VU5,Q96QU8
Q86VU5,Q9UI10
Q86VU5,Q14012
Q86VU5,O95373
Q86VU5,O60271
Q86VU5,O95394
Q86VU5,Q9HAV4
Q86VU5,P49770
Q86VU5,Q7Z4Q2
Q86VU5,Q8TEX9
Q86VU5,Q12769
Q86VU5,Q8WUM0
Q86VU5,Q4LE60
Q86VU5,Q92973
Q86VU5,Q9BXW9
Q86VU5,Q96T76
Q86VU5,O60518
Q86VU5,O14980
Q86VU5,Q96P70
Q86VU5,Q12904
Q86VU5,Q96ER3
Q86VU5,O43156
Q86VU5,P57678
Q86VU5,Q96S66
Q86VU5,Q9H583
Q86VU5,Q5SRE5
Q86VU5,Q15043
Q86VU5,Q9NSV4
Q86VU5,P42892
Q86VU5,Q14746
Q86VU5,Q9BTT6
Q86VU5,Q9Y2V7
Q86VU5,P55060
Q86VU5,Q6P5W5
Q86VU5,Q9C0H2
Q86VU5,Q9C0E2
Q86VU5,Q99666
Q86VU5,P49792
Q86VU5,Q14008
Q86VU5,P50851
Q86VU5,P52948
Q86VU5,Q96RU2
Q86VU5,Q9UBU6
Q86VU5,Q9NWZ8
