ComplexID,Subunits_UniProt_IDs
C_160,"Q9UI09,P00846,O75947,P33897"
C_161,"Q01831,Q5VYS8,P51608,P41208"
C_162,"Q9UGV2,Q9Y450,Q9UJY4,O14810"
C_163,"Q9ULG1,Q9H8H2,Q9GZR7,Q9H981"
C_164,"Q99611,Q9UBT2,Q9UBE0,Q9NZZ3"
C_165,"A6NL28,P51688,P23921,P32119"
C_166,"Q9UBU9,O95232,Q9NUU7,O75531"
C_167,"P11234,P51148,Q8NF37,Q9UHA4"
C_168,"O60245,Q9GZY8,Q9NUL7,P21589"
C_169,"Q9C0C2,Q9UQM7,P61978,Q13185"
C_170,"Q9UNH7,O60749,Q13596,O60346"
C_171,"P57081,Q9NZI7,Q9UBP6,Q8IUD2"
C_172,"Q8WVM8,Q96AG3,P17066,Q86VS8"
C_173,"Q14980,Q16531,Q13620,Q13619"
C_174,"O75340,Q16718,Q27J81,Q92616"
C_175,"Q9Y4P8,P40222,O95881,Q6P3X3"
C_176,"Q92610,Q05519,Q8NEM2,Q7L014"
C_177,"Q15428,P50897,Q9UNP9,Q6KC79"
C_178,"Q9Y6A5,P54725,P61106,A1L0T0"
C_179,"Q96H78,P14923,P35221,P15291"
C_180,"Q4G0F5,A0AVT1,P55786,Q9Y376"
C_181,"Q9P032,Q99538,Q15012,O00425"
C_182,"Q9UHR5,Q92804,Q14687,P35637"
C_183,"P49643,P49642,P09884,Q14181"
C_184,"Q99986,Q8N1B4,Q7Z2T5,P39748"
C_185,"Q9H1B7,Q6NVY1,P78310,Q86TX2"
C_186,"P09382,Q6P2S7,P21333,P04075"
C_187,"Q9Y3D3,Q9Y399,Q6P161,Q9Y247"
C_188,"Q17R98,P51965,P16499,Q8IWX8"
C_189,"O75940,Q9BWJ5,Q9P013,Q8N5G0"
C_190,"O15042,P61927,Q6NWY9,P55081"
C_191,"Q9UKY1,Q9C0E2,Q15269,O94829"
C_192,"Q9H3E2,Q8N196,P19447,P18074"
C_193,"Q96BR5,P11717,Q96AY3,Q5T0N5"
C_194,"Q9BXF6,Q9UNN8,P07858,Q9NUT2"
C_195,"P51608,Q9Y3D6,P51659,P04040"
C_196,"Q96QD8,P08729,O94905,Q8NE86"
C_197,"O00287,Q9BTD8,Q99567,P19338"
C_198,"O14965,P06454,Q6PGN9,Q15398"
C_199,"O75529,O75528,Q96ES7,Q92621"
C_200,"Q14498,P62826,P61970,Q9BRR8"
C_201,"P00441,P22392,P15531,P06132"
C_202,"P26640,Q9P2J5,P50452,Q96BR1"
C_203,"Q8N584,Q9BWD1,Q9Y617,P63000"
C_204,"Q6PGP7,P51151,Q15645,Q15811"
C_205,"O14773,P51148,Q9BVL2,P31943"
C_206,"Q96EY7,Q9Y5U9,Q10471,Q92520"
C_207,"Q9Y5J6,P62072,Q8IX01,Q15155"
C_208,"A6NED2,P53384,P29966,O76075"
C_209,"Q9NR50,Q13144,Q9UI10,P49770"
C_210,"Q92544,Q9P0S9,Q15005,O00264"
C_211,"P17706,Q9BVA0,O75449,O95166"
C_212,"P35610,Q9P0J0,Q6PKG0,Q9UBX3"
C_213,"O75191,P52735,P52888,Q969U7"
C_214,"O43298,Q8TCC3,P11234,P49006"
C_215,"Q6PFW1,Q6P996,A9UHW6,P05114"
C_216,"P08581,Q7Z434,Q9UBI6,Q14254"
C_217,"Q9NTK5,P09382,P09972,P04075"
C_218,"Q96QD8,P10606,P20674,Q8NE86"
C_219,"Q9Y6M5,O96006,P15313,Q9UHB6"
C_220,"P13984,O00267,P63272,Q9ULU4"
C_221,"O75436,Q96T51,Q5SRE5,O95757"
C_222,"O43399,Q9UGI8,P37802,O60232"
C_223,"O43709,Q96C45,P50224,O75628"
C_224,"Q9NXF1,Q8IZL8,Q9NU22,Q9Y4W2"
C_225,"P51688,P23921,P16989,Q07021"
C_226,"O94762,Q9BWT3,Q08050,Q7Z478"
C_227,"O75312,Q96T88,P62942,O75794"
C_228,"P13051,Q96LR5,Q53HV7,Q9UKA9"
C_229,"Q9GZS3,Q9Y6N9,Q13564,Q8TBC4"
C_230,"Q9NXG2,O75886,Q9HD47,O14964"
C_231,"P26368,Q8IYW5,Q8NBT0,O14548"
C_232,"Q5SRE5,O43181,O95757,P54289"
C_233,"P00491,Q04760,Q9BY32,P35573"
C_234,"P08134,Q08209,Q9BV20,P63098"
C_235,"Q8WTS6,Q32MZ4,P07942,Q9C005"
C_236,"Q13151,Q8TEM1,O75369,Q9HB71"
C_237,"Q9BZV1,Q14258,P23381,P22102"
C_238,"P35580,P46940,Q9BSJ8,P68032"
