ComplexID,Subunits_UniProt_IDs
Complex_80,"Q9P287,Q9UHD1,Q5SZC3,Q16719,B7Z5E3,Q9BYZ2,B4DLZ5,O00193,P52788,Q00796,P23193"
Complex_81,"Q9NR09,O43172"
Complex_82,"Q12982,P35268"
Complex_83,"Q14137,Q9H8Y8,P52655,P48163,O60701"
Complex_84,"P46736,Q16204,Q9Y5K6,Q13547,O43390,Q4G0J3,O94776,P04150,Q9H5N1,Q15459,Q13263,0,Q7Z6Z7,Q14978,O75717"
Complex_85,"P20290,E9PAV3,C9JS35"
Complex_86,"O43684,Q7L5Y9"
Complex_87,"Q13895,Q9H7D7"
Complex_88,"B4DLZ8,Q15102"
Complex_89,"Q9NVM9,F5GWP3,B0QYN7"
Complex_90,"Q9NX55,Q5TDH0,P41227,Q9BXJ9"
Complex_91,"Q7Z422,Q6V1X1"
Complex_92,"Q9NZ63,O95302,A6NN01,P06865,Q9UGP4,Q9Y5Y2"
Complex_93,"Q13698,Q6MZT3"
Complex_94,"Q9HB71,Q06830,P32119,0"
Complex_95,"Q05682,P30876"
Complex_96,"A8K1M2,P68104,P23284,B2RBL3"
Complex_97,"Q8IU85,P10909,P80303"
Complex_98,"Q01518,Q02790,Q13451,P07900,Q9UNF1,P25205,P33992,O60502,P06753"
Complex_99,"P40123,B3KWV6"
Complex_100,"P07384,P55210,P32456,Q9Y248,P15586,P00390,P53602,Q92597,P12955,Q15418,Q59EV6"
Complex_101,"P52907,P47755"
Complex_102,"Q86X55,Q13418,Q9NVD7"
Complex_103,"P35520,P38919,Q8TAT6,Q96HC4,P14618,P54727,P37108,Q9UBT2"
Complex_104,"Q5T0F9,Q13162"
Complex_105,"Q96CT7,Q15369,O43592"
Complex_106,"Q96EA4,A8K9F5"
Complex_107,"P78371,P49368,P50991,P48643,P40227,Q99832,P50990,P17987"
Complex_108,"P16070,Q96I24,O94888"
Complex_109,"P49427,P49902,P12004,P46926,Q5GLZ8,P54725,P45974,P23381"
Complex_110,"Q7L3B6,P14625,Q9P260,B7Z8N9,Q9UHP3"
Complex_111,"B4E1U9,B7WPD3"
Complex_112,"P50750,Q15021,Q9BPX3,Q15003,Q15149,O95347,Q9NTJ3,O60232,Q92538"
Complex_113,"Q9NZZ3,Q15437"
Complex_114,"P12277,Q96KP4,P11413,P07195,P55786,Q13177,O14745,P21980,O14562,P61981,P27348,P63104"
Complex_115,"P54105,Q96EI5"
Complex_116,"Q8N3K9,Q9BZQ8,P49005,Q9UPU5"
Complex_117,"B4DUT8,Q96RS6,Q8IV08"
Complex_118,"A5YKK6,P50914,O15027"
Complex_119,"Q13057,Q96C19,P09104,O76003,P49915,P00491,Q15293,Q13630"
Complex_120,"Q9UP83,P08729"
Complex_121,"P35606,Q96T51,Q9Y4R8,O43156"
Complex_122,"O14579,Q06323,Q9Y3P9,Q5VTR2"
Complex_123,"P61201,Q9UNS2,Q9BT78,Q92905,Q7L5N1,Q9UBW8,Q9H9Q2,Q99627,Q13098"
Complex_124,"Q9BR76,Q9HA65,O95218,A0EJG6,Q8N6M0"
Complex_125,"A7MAP1,Q9Y266,P51003,Q9UHX1,P26639,B4DQR8,Q96TA1,P84243,Q9UBQ0,Q96QK1"
Complex_126,"Q5TZA2,Q9NTK5,Q9H788"
Complex_127,"Q08257,Q71U36,Q9BQE3,P68366,0,P68371"
Complex_128,"P55060,Q9C0B1,Q9NR45,P62829"
Complex_129,"P21291,O60841,Q96PK2,A8MPQ8"
Complex_130,"P04080,P54577"
Complex_131,"B3V096,O95777"
Complex_132,"P32929,O60547"
Complex_133,"P35221,P23588,O43776,Q9Y3Z3,P51784,P13010,Q9UNN5,Q06210,Q9BW71,P62805,B4DYH1,P22059,O60678,Q15436,Q15637,P10155,A8K607"
Complex_134,"Q9NRF8,Q13614"
Complex_135,"Q13616,A6NFX8,P29144"
Complex_136,"Q13617,B3SXQ8,P43246,P50502"
Complex_137,"Q13618,B4DKQ5"
Complex_138,"Q93034,P25685"
Complex_139,"O60888,P06132"
Complex_140,"Q9NTM9,P35659"
Complex_141,"Q9BVG4,A3KN83,Q08945"
Complex_142,"Q6ZMK1,Q92522,Q13287,Q59FB9,O00429,O75436"
Complex_143,"B4DXJ1,Q7L2J0"
Complex_144,"Q3LXA3,P32455,P50579"
Complex_145,"Q5TAQ9,O43491,O14744,Q9BQA1"
Complex_146,"Q96C86,P48637,P68402,E7EMN6,B3KNU0,P18206"
Complex_147,"Q59F66,E9PBN1,Q14558"
Complex_148,"Q9NUU7,F8VVL1"
Complex_149,"B4DX78,P10809"
Complex_150,"O00571,P62280,Q14152,Q99613,A8MWD3,P60228,B0QY89,B3KS98,B5ME19,P35544,P63244,P08865,Q6PKG0,Q9NRX1,P46783,P25398,P62277,P62263,P62244,P62249,P62269,P39019,P15880,P60866,P63220,P62266,E7EPK6,P62851,P62854,Q5T4L4,P62857,P62273,P23396,P61247,P62701,P46782,P62753,P62081,P62241,P46781,Q8NC51,Q2NL82,Q9BRP8"
Complex_151,"P26196,Q15843"
