ComplexID,Subunits_UniProt_IDs
HuMAP2_00086,"Q17R89,Q5T0N5"
HuMAP2_00087,"Q00887,Q8NEM2"
HuMAP2_00088,"Q9Y6U3,Q13045,Q32MZ4,P28289,Q9H3H9,O95425,Q9NYL9"
HuMAP2_00089,"Q14676,Q16777,O94776,Q13162,Q5THJ4"
HuMAP2_00090,"Q96RS6,Q8WUQ7,Q86YS6,Q9H5V9,Q14562,O95391"
HuMAP2_00091,"Q9NX14,O95139,P17568"
HuMAP2_00092,"Q9H5L6,O15530,Q9NWC5,Q14681,Q9UBT6,P43003,Q8IY37,Q9NXV2,Q00059,Q96GI7,Q5VT25,Q8N5Z5"
HuMAP2_00093,"P14060,P26439,Q9H6F2,P42898,P19086"
HuMAP2_00094,"Q96NL0,Q59EK9"
HuMAP2_00095,"Q93009,Q9H568,O15014,P14373,Q9UQR0"
HuMAP2_00096,"P12270,Q92499,Q8WXF1,Q9Y3I0,P52272"
HuMAP2_00097,"P08123,P02461,P02452,Q7Z624,O75616,O43615"
HuMAP2_00098,"P06132,Q9BQG2,Q13867"
HuMAP2_00099,"Q00613,Q03933"
HuMAP2_00100,"Q6P5W5,Q8NBJ4"
HuMAP2_00101,"Q9Y6H3,Q1MSJ5,Q9H967,Q96CT2,Q8NFY9,Q9H2C0,Q16653"
HuMAP2_00102,"Q00341,Q14320,Q92900,Q9Y5A9"
HuMAP2_00103,"Q8IXL7,Q8IXQ5,Q92564,Q8WZ60,P02753"
HuMAP2_00104,"Q15020,Q9Y4Y9,O43172,O43395,P54105,O43290,O95777,P14678,P08579,Q9Y333,P62316,P62312,O60828,O94906,Q9P0M2,Q9Y4Z0,Q8WWY3,O43447,A6NC98,O95400,P62304,P62308,P62306,O15116,O75223,Q9H6E5,P62310,Q96DI7,P83876,Q9BUQ8,Q53GS9"
HuMAP2_00105,"Q6PEY2,Q9BQE3,O60884,Q96IX5,Q92542,Q14249,Q01650,P68363,P31689"
HuMAP2_00106,"Q5T1C6,Q5T2R2,Q86YH6,Q9H845,Q9GZY4,P0CG29"
HuMAP2_00107,"P01567,P01562,P05014,P01563,P01569,P19429"
HuMAP2_00108,"Q5HY92,O43813"
HuMAP2_00109,"Q8WUB8,O75596,O60930"
HuMAP2_00110,"Q13563,Q9NZM6,Q96BQ1"
HuMAP2_00111,"O94760,O95865"
HuMAP2_00112,"Q99549,Q5VWN6,Q96LX8,Q9UK61"
HuMAP2_00113,"Q9UNP9,Q9HA77,O94811,Q9BVS5"
HuMAP2_00114,"Q9Y6B2,Q7Z4W2,P22304,Q9NRG7,O94952,Q6P9A2"
HuMAP2_00115,"Q5VY09,P57059,Q6NUN9,Q00005,Q9Y2T4,Q9BXL8,Q9H0K1"
HuMAP2_00116,"P20340,Q9NRW1"
HuMAP2_00117,"O75385,Q9Y3C0,Q9UM21,O75143,"
HuMAP2_00118,"Q9Y6G9,Q8NBJ7,Q8WZ42"
HuMAP2_00119,"P15374,P52565"
HuMAP2_00120,"Q7Z7F0,Q9NQZ5,O95081"
HuMAP2_00121,"P49354,Q9Y3R0,O95164,P49356"
HuMAP2_00122,"P30044,P35270,P49773"
HuMAP2_00123,"Q6ZT07,Q8N4L2,P50416,Q66K14"
HuMAP2_00124,"Q03701,Q9Y3T9,Q14690,Q8TDD1"
HuMAP2_00125,"Q9P021,Q9NX00,Q92995,Q8NBX0"
HuMAP2_00126,"P07108,P60174"
HuMAP2_00127,"Q7Z401,Q9H4A3,Q8TCB7,Q13586"
HuMAP2_00128,"Q8NBB4,Q8TBC5,Q96N95"
HuMAP2_00129,"Q15032,Q9UM19,Q86WH2,Q99732"
HuMAP2_00130,"Q9UQ03,Q92828"
HuMAP2_00131,"P62273,P62277"
HuMAP2_00132,"Q5J8M3,Q9NPA0,O43402,Q8N4V1,Q5UCC4,Q8N766,Q9Y3B6,Q9P0I2,Q15006,Q9BV81"
HuMAP2_00133,"Q9NVH1,Q9NVT9"
HuMAP2_00134,"Q9UDX3,O76054,Q9UDX4"
HuMAP2_00135,"P10746,Q96IQ9,P78316,Q9UNK9,Q99611,O75164,O00626,Q9BVI4,O94953"
HuMAP2_00136,"P68363,Q5TF39,P0DPH8,P47929,Q8N4U5"
HuMAP2_00137,"P42566,P98082,Q0JRZ9,O14526,Q8N5S1"
HuMAP2_00138,"Q92743,O60575,Q9BYZ8"
HuMAP2_00139,"Q9UBP0,P53990"
HuMAP2_00140,"Q96GV9,P49137,O75716,Q8N9N7"
HuMAP2_00141,"Q15399,Q9Y2C9"
HuMAP2_00142,"O94941,Q8N5C8,Q9NYJ8,Q9Y6C2,Q15750"
HuMAP2_00143,"O43172,Q5T8P6"
HuMAP2_00144,"Q9H582,O95785,Q96GT9,Q9H9B1,Q8WTP9,Q8N465,Q96JM2,Q96KQ7"
HuMAP2_00145,"O95208,Q9Y4X5,Q9H201"
HuMAP2_00146,"Q7L8J4,Q9NWX6,Q96G01"
HuMAP2_00147,"P20648,Q9NRD1,O95479,Q86YB8,P51688"
HuMAP2_00148,"P05091,P23368"
HuMAP2_00149,"P17040,Q15697"
HuMAP2_00150,"O14544,O95376"
HuMAP2_00151,"Q8TD31,Q4KMZ1"
HuMAP2_00152,"Q15011,Q7Z3C6,O75808"
HuMAP2_00153,"Q5TC82,Q9UL18,Q8NDV7,Q9UPQ9,Q9HBD1,Q9H9G7"
HuMAP2_00155,"O75110,O60518,Q9UH62,O15438"
HuMAP2_00156,"Q9Y5S2,Q96GI7,Q14CS0,O60927"
HuMAP2_00157,"P35243,Q0VDG4"
HuMAP2_00158,"P21266,P28161,P46439,Q03013"
HuMAP2_00159,"Q9NRF9,Q07864,P56282,Q9NR33"
HuMAP2_00160,"Q9GZT8,P01185,Q8WV74,Q52LG2"
HuMAP2_00161,"Q02363,Q99081"
HuMAP2_00162,"P49755,Q13445,P27105,Q7Z7H5,Q96N66,Q9Y3B3,Q9Y5X9,Q86XR7,Q15363,Q9Y3A6,Q9BVK6,Q14789,Q9Y3Q3"
HuMAP2_00163,"P51572,O15258,P13073"
HuMAP2_00164,"P18669,Q8N0Y7,P15259"
HuMAP2_00165,"Q9Y5H7,Q9UN73,Q9UN72,Q9Y5H6,Q9Y5I3,Q9Y5H9,Q9Y5H8,Q9UN74,O95822,Q9Y5I0,Q9Y5H5,Q9H158,Q9H3H9,Q9Y5I1,Q9Y5I2,Q9UN75"
HuMAP2_00166,"Q9BPX6,Q86XE3,Q8IYU8"
HuMAP2_00167,"P17535,Q9NR55"
HuMAP2_00168,"Q9Y478,O43741,Q13131,P54646,P54619,Q9UGJ0"
HuMAP2_00169,"Q9ULU4,O75822,P19784,Q9NZR4,Q9NW75"
HuMAP2_00170,"Q5JRX3,Q9Y263,Q9UJV9,Q9ULJ7,Q5SYC1"
HuMAP2_00171,"P51878,P49662"
HuMAP2_00172,"P15924,Q5T749,Q02413,Q04695,Q08554,Q7Z794,Q9NZC4,P14923,P02538,P04264,P13647"
HuMAP2_00173,"P31153,Q00266,Q9NZL9"
HuMAP2_00174,"Q9H2H8,Q96I24,P40926"
HuMAP2_00175,"P11766,Q9BPX1,Q9BY32"
HuMAP2_00176,"P17010,P08048"
HuMAP2_00177,"Q9UKK9,Q53H96,Q96C36,P32322"
HuMAP2_00178,"Q96LR2,P30711"
HuMAP2_00179,"Q13126,Q9P2R7"
HuMAP2_00180,"Q96L94,Q5T0L3,Q8TC76,Q5T7W0,Q1L5Z9,O15055,P49674,Q14C86,P48730,Q9Y343"
HuMAP2_00181,"O15530,Q9NWC5,Q14681,P43003,Q9NXV2,Q8N5Z5"
HuMAP2_00182,"O75874,Q9NUQ9,Q9H0Q0,Q96RP9"
HuMAP2_00183,"Q8TDP1,Q5TBB1,Q8N1G2,Q86TU7,O75792"
HuMAP2_00184,"Q9H3K2,Q69YU5"
HuMAP2_00185,"P05091,,Q9BYX4,Q96DB5,Q99538,O95297,O94788"
HuMAP2_00186,"O00291,O75146"
HuMAP2_00187,"Q15020,Q9H6E5,O43172,O43395,P55769,Q5T8P6"
HuMAP2_00188,"P23511,P25208,Q13952"
HuMAP2_00189,"Q8TBE7,P28335,A8MZ36"
HuMAP2_00190,"P35247,Q04837"
HuMAP2_00191,"P33992,Q14566,P33993,P49736,P25205,P33991,Q9BTE3,Q7L590"
HuMAP2_00192,"Q06210,P04150,Q96F46,Q8N6T7,O94808"
HuMAP2_00193,"Q9UBT3,Q9HAU8"
HuMAP2_00194,"P17509,P31267,Q5HY92,A1L020,Q9BS26,O43169,Q8IX07,Q14153,Q5JPE7,Q96DU7,Q15155,O00255,Q92626"
HuMAP2_00195,"Q9BQ69,Q14244,Q15814,P02100"
HuMAP2_00196,"P0DN76,Q8WU68,Q99590"
HuMAP2_00197,"P57678,Q16637,O14893,P09234,Q9UHI6,P08621"
HuMAP2_00198,"Q6V1X1,Q8ND56,Q9UBP6,P50579,P57081"
HuMAP2_00199,"O95433,Q14376,P46108"
HuMAP2_00200,"Q9NQX6,Q8WYA6,O60684"
HuMAP2_00201,"Q13422,Q6PID8,Q9UKS7"
HuMAP2_00202,"Q5VY09,Q9Y2T4"
HuMAP2_00203,"P61970,Q9UMX0,P00374"
HuMAP2_00204,"P31994,P12318,P27695,P31995,P55157"
HuMAP2_00205,"O43542,O43502"
HuMAP2_00206,"Q9HCJ3,Q8TB22"
HuMAP2_00207,"Q969Y0,P52849,Q13296,O75462,P35475,P19320,O95672,O15228,Q99985,Q7LGC8,Q92854"
HuMAP2_00208,"Q9NQ87,P53609,Q6DCA0"
HuMAP2_00209,"Q9NSA3,Q9Y2Q3,O75554,Q8IUH3,O00142,Q8N264,O94907"
HuMAP2_00210,"Q13228,Q9Y4U1"
HuMAP2_00211,"Q3KR16,Q9Y5G5,Q9Y5G4,O95822,Q9Y5G6,Q9Y5G8"
HuMAP2_00212,"Q8N371,A6NED2,Q7L273"
HuMAP2_00213,"O60271,Q8N565,Q147U7"
HuMAP2_00214,"Q9H9Y2,Q9BXY0"
HuMAP2_00215,"P47914,P05141,Q13685,P27635,P08708"
HuMAP2_00216,"O00629,P18754,O00505,P63165"
HuMAP2_00217,"P35610,Q9UBY5,O75326"
HuMAP2_00218,"O75947,P25705,P56385,P18859,P36542,P06576,P30049,P24539,O75964,P48047"
HuMAP2_00219,"Q3T8J9,Q8N108,Q96A08,Q96RY5,Q6PH81,P0C0S5,Q14865,Q8TBE0,Q99880,Q7Z3K6,Q8IUE6"
HuMAP2_00220,"Q9C0J8,Q10570,Q6UN15,Q9UKF6,O95639,Q9P2I0,Q92876"
HuMAP2_00221,"O95299,O95168,P47985,P49821,Q9NZM1,P05023,Q6JQN1"
HuMAP2_00222,"Q9Y6Y8,Q13049"
HuMAP2_00223,"Q6NUK4,Q9H6D8"
HuMAP2_00224,"O95704,Q9BYZ6"
HuMAP2_00225,"O15116,P62312,Q9Y253,Q9Y4Y9,Q9Y333,Q9P0M2,Q9UK45,O95777,Q9Y4Z0,P62310,Q86TB9"
HuMAP2_00226,"P80217,Q13287,Q7L266"
HuMAP2_00227,"Q9Y5B9,O76094"
HuMAP2_00228,"Q9UDY4,P25685"
HuMAP2_00229,"O75369,Q13813,Q09666,O15020,P11277,Q01082"
HuMAP2_00230,"P52597,Q9UKA9"
HuMAP2_00231,"O95467,Q9UNF1,P38405"
HuMAP2_00232,"Q9GZS1,Q9NYV6,P61218,Q3B726,Q9UHW5,O15160,O95602,Q9Y2Y1,P0DPB5,O15446,Q9H9Y6,Q9P1U0"
HuMAP2_00233,"Q9HB71,Q14011"
HuMAP2_00234,"Q3SYB3,Q96EW2,O60548"
HuMAP2_00235,"Q9UHB9,O76094,P37108,P49458,P61011,P09132,Q8WXX5"
HuMAP2_00236,"Q9NVP1,Q9UKD2,Q9BZE4"
HuMAP2_00237,"P04406,O14556,Q9UK76"
HuMAP2_00238,"Q5VIR6,Q8N1B4,Q9P1Q0,Q96JG6,Q53HC9,Q9UID3,P29373"
HuMAP2_00239,"O43439,Q9NQX0"
HuMAP2_00240,"A2RU67,O14678,Q7Z6J6,Q96GQ5,Q5TB30,Q15012"
HuMAP2_00241,"Q9H492,Q9UHK0,Q15649,Q05329"
HuMAP2_00242,"O15156,Q6NUJ5,Q7Z4N8"
HuMAP2_00243,"Q5XKK7,O75648"
HuMAP2_00244,"Q16831,P00338,O60218,P51553,P07195,P84085,Q32P51,C9JRZ8"
HuMAP2_00245,"Q96EP0,Q9BYM8"
HuMAP2_00246,"Q8IZ69,P25205,Q9H444"
HuMAP2_00247,"Q9Y5Y0,Q29983,Q8WUM9"
HuMAP2_00248,"Q8WUD1,P61106,P61224,Q6NXP2,P51149,P61019"
HuMAP2_00249,"Q9HC98,Q9UQV4,Q9NX47,Q8TDX7"
HuMAP2_00250,"Q8NE28,Q9Y3S1,Q15723,Q96L34,P17980,Q9BUZ4"
HuMAP2_00251,"P54760,P52799,P98172,O75056,P54753"
HuMAP2_00252,"Q9UNT1,Q8IZ41"
HuMAP2_00253,"Q8WVB6,Q8TCT1"
HuMAP2_00254,"Q9NQR4,Q9UBQ7,Q53H82"
HuMAP2_00255,"Q9H190,Q86V86"
HuMAP2_00256,"Q8N7R7,Q13936,Q00536,Q00537,Q8ND76"
HuMAP2_00257,",Q86XP1,Q96R06,Q05D60"
HuMAP2_00258,"Q9UDY6,Q96PV7,O60662,Q9UPQ4"
HuMAP2_00259,"Q8NC51,P23246"
HuMAP2_00260,"Q8N5M4,Q8N1E6"
HuMAP2_00261,"Q9UBR1,Q96RW7,P35573"
HuMAP2_00262,"Q8WXX7,Q9HAH7,Q86SE9"
HuMAP2_00263,"Q9Y581,Q9H871,Q9UGM6,O60381,Q9C0B9,Q9UHQ7,Q00978,O43464"
HuMAP2_00264,"Q96L94,Q5T0L3,Q1L5Z9,P50747,Q14C86,Q9Y343"
HuMAP2_00265,"Q14508,Q562E7"
HuMAP2_00266,"P56270,A6NH21"
HuMAP2_00267,"Q92843,Q96KP6,Q96LC9"
HuMAP2_00268,"P46926,Q8TDQ7"
HuMAP2_00269,"Q9NRW7,Q8N4P3,O14662,Q9NPJ3,Q8N0X7"
HuMAP2_00270,"Q9Y5E2,Q8N394,Q9Y5F0,Q9Y5F2,Q9Y5F1"
