ComplexID,Subunits_UniProt_IDs
Complex_103,"O15143,O15144,O15145,Q92747"
Complex_104,"O15143,O15144,O15145,O15511,P61158,P61160,Q92747,Q9BPX5"
Complex_105,"O15144,O15145,O15511,P61158,P61160,Q9BPX5"
Complex_106,"O15318,P05423"
Complex_107,"O00303,O15371,O15372,O75821,Q13347,Q7L2H7"
Complex_108,"O00303,O15371,O15372,O75821,P55884,P60228,Q13347,Q14152,Q7L2H7,Q99613,Q9UBQ5,Q9Y262"
Complex_109,"O75821,P55884,Q13347"
Complex_110,"O00161,O14653,O15400,O43752,O60499,O95721,P51809,P54920,P55735,P78316,Q08379,Q12846,Q13277,Q15836,Q86Y82,Q99747,Q9BRR6,Q9BV40,Q9BVI4,Q9NZ43,Q9P2W9,Q9UNK0"
Complex_111,"P51809,P54920,Q12846,Q86Y82,Q99747,Q9BRR6"
Complex_112,"P55735,Q08379,Q9NZ43"
Complex_113,"Q13190,Q15836"
Complex_114,"Q13190,Q96AJ9"
Complex_115,"P15735,P46019,P46020,Q93100"
Complex_116,"O14530,Q99832"
Complex_117,"Q96T76,Q99832"
Complex_118,"O15460,P07237"
Complex_119,"O15400,Q86Y82"
Complex_120,"O15143,O15145,O15511,Q92747"
Complex_121,"O15145,O15511"
Complex_122,"O15514,P62487"
Complex_123,"Q7L0Y3,Q9BYG5"
Complex_124,"O43149,Q8NBX0"
Complex_125,"P06748,P50914,P62917"
Complex_126,"Q12905,Q9BYG3"
Complex_127,"O43181,O75489,P51970"
Complex_128,"O43264,Q9NZ43,Q9P2W9"
Complex_129,"O43292,Q92643"
Complex_130,"P15880,Q12905"
Complex_131,"O43390,Q12905"
Complex_132,"P09651,P15880"
Complex_133,"Q06547,Q92905"
Complex_134,"O43399,Q9Y399"
Complex_135,"O43402,Q15006"
Complex_136,"O43432,P06730,P17980,P51648"
Complex_137,"O43432,P06730"
Complex_138,"O43617,Q8WVT3"
Complex_139,"O43670,O43684"
Complex_140,"O43674,O75489,P51970,Q9BQ95"
Complex_141,"O43676,O75489,P51970"
Complex_142,"O43681,Q7L5D6"
Complex_143,"O00161,O14653,O15400,O43752,O60499,O60637,O94766,O95721,Q12846,Q13277,Q15836,Q86Y82,Q9BV40,Q9UNK0"
Complex_144,"O94766,P54920,Q12789,Q12981,Q8WVM8,Q99747,Q9Y5Q9"
Complex_145,"O60637,Q12846,Q12981,Q13190,Q15836,Q99747,Q9Y5Q9"
Complex_146,"P54920,Q8WVM8,Q99747,Q9P2W9"
Complex_147,"O43752,Q12789,Q9NRW7"
Complex_148,"A2RRP1,Q9P2W9"
Complex_149,"O43759,P30519"
Complex_150,"O43765,Q7L5D6"
Complex_151,"Q66K14,Q8IZ83,Q9NX40,Q9Y315"
Complex_152,"Q8IZ83,Q9Y315"
Complex_153,"O43837,P50213,P51553"
Complex_154,"P04899,P08754,P63096"
Complex_155,"P06748,P50914,P62906"
Complex_156,"O60341,Q9UKL0"
Complex_157,"O95347,Q15003,Q15021,Q9BPX3"
Complex_158,"O95347,Q15003"
Complex_159,"O15400,O43752,O60499,Q86Y82"
Complex_160,"P24539,Q14139,Q15165,Q6UW68,Q9H3K2,Q9H6H4"
Complex_161,"Q15165,Q6UW68,Q9H3K2,Q9H6H4"
Complex_162,"P06576,Q8TBA6"
Complex_163,"O60563,O94992,P50750,Q9UHB7"
Complex_164,"O94992,Q9UHB7"
Complex_165,"O14763,O43752,O60637,Q06136,Q7Z5G4,Q9BTU6,Q9HBH5,Q9NPF0,Q9NRZ7"
Complex_166,"O43752,O60637,Q9BTU6,Q9HBH5,Q9NPF0"
Complex_167,"O43752,Q06136"
Complex_168,"P35613,Q96EV8"
Complex_169,"O60783,Q92665,Q9Y399"
Complex_170,"P62241,Q02878"
Complex_171,"O60826,Q9H0A8,Q9UBI1"
Complex_172,"O60831,O75695,P30519,Q9NQC3"
Complex_173,"O60831,O75695,P30519"
