ComplexID,Subunits_UniProt_IDs
Complex_15,"O60506,P67809,Q00839,Q08211,Q9NZI8"
Complex_16,"O15320,P07099,P08240,P16435,P20340,P37268,P51153,P61006,P84085,Q12981,Q13190,Q16850,Q4ZIN3,Q5JRA6,Q5VT66,Q8TC12,Q8WVC6,Q92572,Q96HY6,Q96JB5,Q99614,Q9NP72,Q9NPF0,Q9NVJ2,Q9NWS8,Q9P2W9,Q9UNK0,Q9Y263,Q9Y2U8,Q9Y320,Q9Y394,Q9Y5M8,O94874,Q86VR2"
Complex_17,"O43615,O43819,P06756,P11441"
Complex_18,"P05023,P05026,P30519,P54709"
Complex_19,"P16070,P35222,P35613"
Complex_20,"P33527,Q9NPF0"
Complex_21,"O15400,O43615,O43819,P50542,P61006"
Complex_22,"P22413,P29317,P35222"
Complex_23,"O15400,O60476,P33908,Q7Z5G4,Q16706"
Complex_24,"P06730,P40763,P42704,Q9GZT3"
Complex_25,"O95864,P29992,Q8IV08,Q8NF37"
Complex_26,"P49069,Q6RW13,Q9BVT8"
Complex_27,"P27824,Q07021,Q13445,Q15363,Q7Z7H5,Q92520,Q99442,Q9BVK6,P49755,Q9NPA0,Q9Y3A6,Q9Y3B3,Q9BZF1,Q9C0E8,Q9NV96,Q9Y3Q3,P24390,P35606,P67812"
Complex_28,"P08754,P63104,P98172"
Complex_29,"P43307,P51571,P60468"
Complex_30,"P05556,P60033,Q8WTV0,Q969P0,Q9P2B2"
Complex_31,"P60604,P62877,P63165,Q9UKV5"
Complex_32,"O43237,P63172,Q13409,Q14204,Q9NP97,Q9Y6G9,P43034,P51808"
Complex_33,"P06493,P23258,P62826,Q14974,Q8NHV4,Q96CW5,Q96RT7,Q9BSJ2,Q9UGJ1,Q08AG7"
Complex_34,"Q6IAA8,Q9UHA4,Q9Y2Q5"
Complex_35,"O43390,P19338,Q00839,Q08211,Q12906,Q92841,Q12905"
Complex_36,"P46939,Q13884"
Complex_37,"O00767,O95674,P06493,Q53EU6,Q6UWP7,Q86UL3,Q8IV08,Q8NF37,Q9NRZ7"
Complex_38,"O43819,O75880,Q7KZN9,Q15526"
Complex_39,"P37268,P56937,Q15738,Q99720"
Complex_40,"Q5BJH7,Q969M3,Q96EC8"
Complex_41,"P62699,Q6VN20,Q7L5Y9,Q8IUR7,Q96S59,Q9H7D7,Q9H871,Q9NWU2,Q9UL63"
Complex_42,"P49755,Q92643,Q969N2,Q96S52,Q9H490"
Complex_43,"O00303,O15371,O15372,O75821,P55884,P60228,Q04637,Q13347,Q14152,Q7L2H7,Q99613,Q9UBQ5,Q9Y262,O00541"
Complex_44,"P55072,Q92575,Q9UMX0"
Complex_45,"P62877,Q13618,Q86VP6,Q92990"
Complex_46,"P35613,Q92542,Q96BI3"
Complex_47,"P60468,P61619,Q99442,Q9UGP8"
Complex_48,"Q8N1F7,Q9BTX1"
Complex_49,"Q13601,Q13895,Q2NL82,Q96GA3,Q9UNQ2"
Complex_50,"Q13601,Q13895,Q96BK5,Q9BZE4"
Complex_51,"O15269,O15270,Q06136"
Complex_52,"O75027,Q9NRK6"
Complex_53,"Q9BU61,Q9P032"
Complex_54,"O60341,Q13547,Q14687,Q92769,Q9UBW7,Q9UKL0,Q9NP66,P56545,Q13363"
Complex_55,"O95202,Q9Y276"
Complex_56,"A2RU67,P54709,Q86Y82,Q9Y287"
Complex_57,"P31689,Q8NBT2,Q9BRK5,Q9Y6I9"
Complex_58,"O00165,O14763,O15126,Q9NQC3"
Complex_59,"O43292,Q92643"
Complex_60,"Q66K14,Q8IZ83,Q9NX40,Q9Y315"
Complex_61,"P24539,Q14139,Q15165,Q6UW68,Q9H3K2,Q9H6H4"
Complex_62,"O60831,O75695,P30519,Q9NQC3"
Complex_63,"O75155,P35613,P51648"
Complex_64,"O60831,O75695,O95373,P33240,P40763,P42345,P49674,P55060,P83436,Q15003,Q29RF7,Q5VYK3,Q8IWA5,Q92797,Q92990,Q969Z3,Q9UIA9,Q9UPU5,Q9Y5L0"
Complex_65,"P00387,Q6ZRP7,Q96A26,Q9H3G5,Q9NX40,Q9NQC3,P35613"
Complex_66,"P07910,Q12905"
Complex_67,"P62873,P63096,Q9BTX1,Q9NRG9,Q9Y672"
Complex_68,"Q02978,Q16850"
Complex_69,"O14786,O75915,Q5BJH7,Q9NP72"
Complex_70,"P51153,P61803,Q86Y82,Q92544"
Complex_71,"P16435,Q7KYR7,Q9Y5M8"
Complex_72,"P61803,Q16880,Q9H1E5,Q9NP72,Q9Y320"
Complex_73,"O14949,P31689,Q96SU4,Q9BXB4"
Complex_74,"P42224,Q9Y6I9"
Complex_75,"O75155,O94822,P51648,Q13535,Q66K14,Q6PJG6,Q8TC07,Q8TCG1,Q9BXW9,Q9H583,Q9Y6D6"
Complex_76,"O60763,O75155,P54760,P61803,P98172,Q15386,Q9NRG9"
Complex_77,"O14967,P18031,P27824,Q16880,Q86SF2,Q8IW92,Q8TC12,Q9BRR6,Q9NX62,Q9UHG3"
Complex_78,"O14975,O15127,O15258,O60831,P00387,P35610,P98172,Q08722,Q2TAA5,Q6UWP7,Q86VR2,Q8N9F7,Q8NC56,Q8TC12,Q8WY22,Q92508,Q96DA6,Q99442,Q9BTV4,Q9BTX1,Q9BVT8,Q9HBH5,Q9NRZ7,Q9Y6A9"
Complex_79,"P08754,P30519,P62879"
Complex_80,"P62873,P62879,Q9NX40,Q9UH62,Q9UNF1"
Complex_81,"O43292,P04920,P54760,P67812,Q13586,Q5JRA6,Q6ZXV5,Q7Z2K6,Q86X29,Q96CP6,Q96S66,Q9BU23,Q9H3K2,Q9Y3B3"
Complex_82,"P54709,P98172,Q969X5"
Complex_83,"Q01433,Q13363"
Complex_84,"Q07812,Q29RF7"
Complex_85,"O94822,O96008,P20339,P21359,P22695,P56937,P84085,Q16625,Q5SRE5,Q6AI08,Q8WUD6,Q9H583,Q9NP72,Q9NUQ7,Q9NVH2,Q9NZJ7,Q9Y619,Q9Y6D5,Q9Y6D6"
Complex_86,"P13804,Q13423,Q96CS3"
Complex_87,"O15121,O95563,Q8TC07"
Complex_88,"Q14683,Q9BRK5"
Complex_89,"O43808,P61803,Q9ULK4,Q9Y2U8"
Complex_90,"Q3SXM5,Q9H4I3,Q9NQC3"
Complex_91,"P11021,P27824,P30154"
Complex_92,"A2RU67,O43292,P17301,P18031,P35610,P49792,P55011,Q6ZXV5,Q7Z2K6,Q8IW92,Q8IWT6,Q8IYS2,Q8N766,Q8NB49,Q8NHP6,Q8TC12,Q8WY22,Q96CP6,Q96PU8,Q96S66,Q9BU23,Q9GZY4,Q9H1E5,Q9H813,Q9UHQ9,Q9Y5Y0,Q9Y672"
Complex_93,"Q3SXM5,Q8N0U8"
Complex_94,"O14653,O43752,O60499,Q12981,Q96KC8,Q9HAV4,Q9UNK0"
Complex_95,"O95721,P35613,P51665,Q5VTR2"
Complex_96,"Q15047,Q6VMQ6"
Complex_97,"Q709C8,Q92575,Q96CS3,Q14139"
Complex_98,"P22413,Q8NBX0,Q8WWY3,Q9BTV4,Q9Y6E2"
Complex_99,"O15031,P18031,Q6UWP7,Q8NEW0,Q92604,Q9H330,Q9H3N1,Q9UP95"
Complex_100,"Q7L1Q6,Q8WY22,Q92973,Q9NWS8"
Complex_101,"O15121,P51809,Q8WVT3,Q9H2M9"
